package_name;ossgadget_url;old_url
configparser;https://github.com/jaraco/configparser;http://github.com/psf/black
google-api-python-client;https://github.com/googleapis/google-api-python-client;http://github.com/googlecloudplatform/google-cloud-python
pyzmq;https://github.com/zeromq/pyzmq;http://github.com/zeromq/libzmq
pynacl;https://github.com/pyca/pynacl;http://github.com/jedisct1/libsodium
isort;https://github.com/pycqa/isort;http://github.com/timothycrosley/isort
docopt;https://github.com/docopt/docopt;http://github.com/halst/schema
requests-toolbelt;https://github.com/requests/toolbelt;http://github.com/kennethreitz/requests
gensim;https://github.com/rare-technologies/gensim;http://github.com/igrigorik/ga-beacon
pytest-runner;https://github.com/pytest-dev/pytest-runner;http://github.com/ambv/black
sortedcontainers;https://github.com/grantjenks/python-sortedcontainers;http://github.com/quantopian/zipline
plotly;https://github.com/plotly/orca;http://github.com/plotly/plotly.py
unidecode;https://github.com/avian2/unidecode;http://github.com/miurahr/unihandecode
hdfs;https://github.com/mtth/hdfs;http://github.com/conda-forge/python-hdfs-feedstock
texttable;https://github.com/foutaise/texttable;http://github.com/fgallaire/cjkwrap
asgiref;https://github.com/django/asgiref;http://github.com/andrewgodwin/frequensgi
torch;https://github.com/pytorch/pytorch;http://github.com/twitter/torch-autograd
sendgrid;https://github.com/sendgrid/sendgrid-python;http://github.com/sendgrid/python-http-client
multiprocess;https://github.com/uqfoundation/multiprocess;http://github.com/uqfoundation/pathos
sympy;https://github.com/sympy/sympy;http://github.com/fredrik-johansson/mpmath#1-download--installation
flask-admin;https://github.com/flask-admin/flask-admin;http://github.com/coleifer/peewee
filemagic;https://github.com/aliles/filemagic;http://github.com/mxcl/homebrew
emoji;https://github.com/carpedm20/emoji;http://github.com/kyokomi/emoji
apache-airflow;https://github.com/apache/airflow;http://github.com/bodastage/bts-ce
statistics;https://github.com/python/cpython;http://github.com/digitalemagine/py-statistics
scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;http://github.com/conda-forge/scikit-optimize-feedstock
jupyterlab;https://github.com/jupyterlab/jupyterlab;http://github.com/topics/jupyterlab-extension
pastedeploy;https://github.com/pylons/pastedeploy;http://github.com/cdent/pastescript
jplephem;https://github.com/brandon-rhodes/python-jplephem;http://github.com/iodide-project/pyodide
dominate;https://github.com/knio/dominate;//github.com/knio/dominate
httpretty;https://github.com/gabrielfalcao/httpretty;http://github.com/chrisk/fakeweb
python-socketio;https://github.com/miguelgrinberg/python-socketio;http://github.com/socketio/socket.io
diskcache;https://github.com/grantjenks/python-diskcache;http://github.com/rare-technologies/sqlitedict
python-engineio;https://github.com/miguelgrinberg/python-engineio;http://github.com/socketio/engine.io
dash;https://github.com/plotly/dash;http://github.com/plotly/plotly.js
ninja;https://github.com/scikit-build/ninja-python-distributions;http://github.com/scikit-build/ninja-python-distributions#readme
cftime;https://github.com/unidata/cftime;http://github.com/unidata/netcdf4-python
pathlib-mate;https://github.com/machu-gwu/pathlib_mate-project;http://github.com/machu-gwu/
python-decouple;https://github.com/henriquebastos/python-decouple;http://github.com/pyenv/pyenv#simple-python-version-management-pyenv
moviepy;https://github.com/zulko/moviepy;http://github.com/noamraph/tqdm
thriftpy2;https://github.com/thriftpy/thriftpy2;http://github.com/eleme/thriftpy
slimit;https://github.com/rspivak/slimit;http://github.com/tenderlove/rkelly
platformio;https://github.com/platformio/platformio-core;http://github.com/platformio/platformio-examples
radon;https://github.com/rubik/radon;http://github.com/rubik/xenon
ggplot;https://github.com/yhat/ggplot;http://github.com/hadley/ggplot2
flake8-commas;https://github.com/pycqa/flake8-commas;http://github.com/ar4s/flake8_tuple
opencensus-ext-azure;https://github.com/census-instrumentation/opencensus-python;http://github.com/census-instrumentation/opencensus-python#integration
mkdocs-material;https://github.com/squidfunk/mkdocs-material;http://github.com/sponsorware/docs
prospector;https://github.com/pycqa/prospector;http://github.com/landscapeio/requirements-detector
osqp;https://github.com/oxfordcontrol/osqp-wheels;http://github.com/oxfordcontrol/osqp-recipes
maturin;https://github.com/pyo3/maturin;http://github.com/pyo3/setuptools-rust
graphite-web;https://github.com/graphite-project/graphite-web;http://github.com/graphite-project/carbon
sphinx-autobuild;https://github.com/garetjax/sphinx_autobuild;http://github.com/garetjax/sphinx-autobuild
fastcluster;https://github.com/dmuellner/fastcluster;http://github.com/cran/fastcluster
textdistance;https://github.com/life4/textdistance;http://github.com/orsinium/textdistance
nimbusml;https://github.com/microsoft/nimbusml;http://github.com/dotnet/machinelearning
flask-rq2;https://github.com/rq/flask-rq2;http://github.com/mattupstate/flask-rq
xlwings;https://github.com/xlwings/xlwings;http://github.com/python-excel/xlrd
speechrecognition;https://github.com/uberi/speech_recognition;http://github.com/uberi/speech_recognition#readme
selectors2;https://github.com/sethmlarson/selectors2;http://github.com/shazow/urllib3
trafaret;https://github.com/deepwalker/trafaret;http://github.com/deepwalker/trafaret_schema
flask-limiter;https://github.com/alisaifee/flask-limiter;http://github.com/alisaifee/limits
deap;https://github.com/deap/deap;http://github.com/soravux/scoop
ipfshttpclient;https://github.com/ipfs/py-ipfs-http-client;http://github.com/richardlitt/standard-readme
imagecodecs;https://github.com/uclouvain/openjpeg;http://github.com/madler/zlib
pydruid;https://github.com/metamx/pydruid;http://github.com/druid-io/pydruid
pilkit;https://github.com/matthewwithanm/pilkit;http://github.com/fish2000/instakit
repoze-who;https://github.com/repoze/repoze;http://github.com/repoze/repoze.who
editorconfig;https://github.com/editorconfig/editorconfig;http://github.com/editorconfig/editorconfig-core
cloudinary;https://github.com/cloudinary/pycloudinary;http://github.com/cloudinary/cloudinary_js
mitmproxy;https://github.com/mitmproxy/mitmproxy;http://github.com/cortesi/modd
python-status;https://github.com/avinassh/status;http://github.com/tomchristie/django-rest-framework)(drf
djangorestframework-gis;https://github.com/openwisp/django-rest-framework-gis;http://github.com/djangonauts/django-rest-framework-gis
blaze;https://github.com/blaze/blaze;http://github.com/blaze/blaze-tutorial
kivy;https://github.com/kivy/kivy;http://github.com/kivy/buildozer
django-suit;https://github.com/darklow/django-suit;http://github.com/darklow/django-suit-examples
pysal;https://github.com/pysal/pysal;http://github.com/pysal/segregation
pyct;https://github.com/pyviz-dev/pyct;http://github.com/pyviz/pyct
aiohttp-session;https://github.com/aio-libs/aiohttp_session;http://github.com/alexpantyukhin/aiohttp-session-mongo
pwntools;https://github.com/gallopsled/pwntools;http://github.com/gallopsled/pwntools-write-ups
colcon-test-result;https://github.com/colcon/colcon-test-result;http://github.com/colcon/colcon-core
google-api-python-client-uritemplate;https://github.com/venmo/google-api-python-client;http://github.com/google/google-api-python-client
django-test-plus;https://github.com/revsys/django-test-plus;http://github.com/revsys/
mechanicalsoup;https://github.com/mechanicalsoup/mechanicalsoup;http://github.com/hickford/
tryme;https://github.com/bryanwb/tryme;http://github.com/pyx/monad
pyscaffold;https://github.com/pyscaffold/pyscaffold;http://github.com/schlamar/pytest-cov
pypowervm;https://github.com/pypowervm/pypowervm;http://github.com/powervm/
uncompyle6;https://github.com/rocky/python-uncompyle6;http://github.com/rocky/python-decompile3
meinheld;https://github.com/mopemope/meinheld;http://github.com/joyent/http-parser
virtualenvwrapper-win;https://github.com/davidmarble/virtualenvwrapper-win;http://github.com/davidmarble/pywin
