package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
urllib3;1086396695;https://github.com/urllib3/urllib3;2398;2020-08-14;31;0.56;124;669;100;25;232;343,471;3,409;https://libraries.io/pypi/urllib3;24;1.67K;37.7K
six;945159894;https://github.com/benjaminp/six;689;2020-05-21;11;0;80;168;100;404;53;587,784;14,276;https://libraries.io/pypi/six;27;5.91K;122K
botocore;823324387;https://github.com/boto/botocore;860;2020-08-17;75;0;124;563;100;39;121;48,686;811;https://libraries.io/pypi/botocore;21;344;7.06K
requests;786762026;https://github.com/psf/requests;43289;2020-08-17;52;0;238;2968;100;9;590;611,858;32,829;https://libraries.io/pypi/requests;31;14.4K;152K
python-dateutil;765312065;;;;0;0;;;0;0;;;;https://libraries.io/pypi/python-dateutil;23;2.44K;58.3K
certifi;738148393;https://github.com/certifi/python-certifi;392;2020-06-20;1;0;12;64;63;92;24;339,518;2,464;https://libraries.io/pypi/certifi;24;1.15K;39.7K
s3transfer;733018305;https://github.com/boto/s3transfer;86;2020-06-13;7;0;15;19;19;43;15;40,886;203;https://libraries.io/pypi/s3transfer;20;80;3.94K
idna;714786482;https://github.com/kjd/idna;123;2020-07-02;1;0;3;50;49;76;11;;;https://libraries.io/pypi/idna;22;592;35.3K
docutils;662041713;;;;0;0;;;0;0;;;;https://libraries.io/pypi/docutils;15;438;24.8K
chardet;655765806;https://github.com/chardet/chardet;1347;2019-11-12;3;0.09;48;55;54;187;32;316,409;2,000;https://libraries.io/pypi/chardet;23;762;36.4K
pip;654680592;https://github.com/pypa/pip;6487;2020-08-17;94;0;737;4156;100;4;514;31,252;987;https://libraries.io/pypi/pip;23;291;9.33K
setuptools;645701714;https://github.com/pypa/setuptools;1076;2020-08-16;185;9.08;482;1091;100;3;316;58,422;11,643;https://libraries.io/pypi/setuptools;23;2.61K;29K
pyyaml;637746128;https://github.com/yaml/pyyaml;1167;2020-03-19;2;0;122;163;100;75;32;198,639;11,359;https://libraries.io/pypi/PyYAML;26;4.45K;57.2K
jmespath;584905365;https://github.com/jmespath/jmespath.py;1079;2020-05-12;0;0;31;60;60;62;20;47,989;430;https://libraries.io/pypi/jmespath;21;174;6.2K
pyasn1;578415922;https://github.com/etingof/pyasn1;161;2020-03-21;17;0.33;36;61;61;39;13;79,138;661;https://libraries.io/pypi/pyasn1;19;185;13.8K
rsa;565699866;;;;0;0;;;0;0;;;;https://libraries.io/pypi/rsa;15;112;6.33K
pytz;469764017;https://github.com/stub42/pytz;123;2020-06-15;11;0;8;18;18;24;11;479,230;4,061;https://libraries.io/pypi/pytz;24;1.36K;77.5K
boto3;464866307;https://github.com/boto/boto3;5692;2020-08-17;42;9.26;271;1789;100;7;89;66,276;3,559;https://libraries.io/pypi/boto3;25;1.42K;11.5K
numpy;437086672;https://github.com/numpy/numpy;14623;2020-08-18;199;1.46;1.8k;6951;100;3;990;442,655;25,655;https://libraries.io/pypi/numpy;29;5.06K;84.9K
awscli;420684707;;;;0;0;;;0;0;;;;https://libraries.io/pypi/awscli;15;110;2.71K
colorama;418462352;https://github.com/tartley/colorama;2172;2020-04-28;3;0;83;86;83;56;35;112,423;2,913;https://libraries.io/pypi/colorama;21;1.21K;15.8K
wheel;399794725;https://github.com/pypa/wheel;195;2020-08-15;19;0;19;269;100;58;52;;;https://libraries.io/pypi/wheel;21;429;31.3K
futures;347315914;https://github.com/agronholm/pythonfutures;210;2020-01-09;1;0;5;62;62;94;13;21,809;861;https://libraries.io/pypi/futures;20;269;6.89K
markupsafe;332028359;https://github.com/pallets/markupsafe;337;2020-08-17;1;0;0;62;62;133;28;388,012;974;https://libraries.io/pypi/MarkupSafe;21;238;73.3K
protobuf;329723957;;;;0;0;;;0;0;;;;https://libraries.io/pypi/protobuf;17;580;12.5K
jinja2;311487056;https://github.com/pallets/jinja;7199;2020-08-07;18;0.31;48;640;100;15;230;425,139;5,236;https://libraries.io/pypi/Jinja2;26;1.9K;93.5K
simplejson;309736011;https://github.com/simplejson/simplejson;1299;2020-07-16;5;0.88;9;155;100;23;30;44,973;2,061;https://libraries.io/pypi/simplejson;23;588;19.5K
cffi;305360575;;;;0;0;;;0;0;;;;https://libraries.io/pypi/cffi;15;306;18K
cryptography;279792381;https://github.com/pyca/cryptography;3459;2020-08-17;94;0;24;1459;100;26;203;106,064;2,182;https://libraries.io/pypi/cryptography;24;872;16.9K
attrs;277066386;https://github.com/python-attrs/attrs;3173;2020-08-17;10;0.27;83;313;100;58;87;143,085;1,938;https://libraries.io/pypi/attrs;22;834;14K
click;264781935;https://github.com/pallets/click;9639;2020-08-17;21;0.47;91;909;100;34;251;325,300;11,479;https://libraries.io/pypi/click;27;4.7K;54.7K
importlib-metadata;246378225;;;;0;0;;;0;0;;;;https://libraries.io/pypi/importlib-metadata;14;239;3.07K
pyasn1-modules;245938565;https://github.com/etingof/pyasn1-modules;28;2020-03-21;6;0.3;2;12;12;52;7;;;https://libraries.io/pypi/pyasn1-modules;18;73;6.13K
future;241554856;;;;0;0;;;0;0;;;;https://libraries.io/pypi/future;16;1.4K;14.2K
zipp;238399218;https://github.com/jaraco/zipp;19;2020-07-24;15;0;5;28;28;7;7;;;https://libraries.io/pypi/zipp;19;80;2.91K
