package_name;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
configparser;https://github.com/jaraco/configparser;22;2020-03-26;16;26;5;45;45;230;9;;
google-api-python-client;https://github.com/googleapis/google-api-python-client;4037;2020-09-01;13;54;82;554;100;17;132;38312;841
pyzmq;https://github.com/zeromq/pyzmq;2577;2020-09-10;21;66;150;632;100;43;141;83329;850
pynacl;https://github.com/pyca/pynacl;715;2020-08-27;7;183;31;200;100;58;50;;
isort;https://github.com/pycqa/isort;3276;2020-09-11;36;21;14;780;100;2;187;116832;1517
docopt;https://github.com/docopt/docopt;7158;2018-08-24;4;279;210;170;100;91;28;34410;2371
requests-toolbelt;https://github.com/requests/toolbelt;710;2019-04-18;6;152;52;90;89;45;53;18239;679
gensim;https://github.com/rare-technologies/gensim;11144;2020-09-10;34;56;306;1202;100;22;360;16023;410
pytest-runner;https://github.com/pytest-dev/pytest-runner;48;2019-12-01;6;36;0;40;40;102;13;;
sortedcontainers;https://github.com/grantjenks/python-sortedcontainers;1843;2020-06-08;7;61;11;109;100;77;17;;
unidecode;https://github.com/avian2/unidecode;258;2020-07-29;3;80;1;21;21;102;16;;
hdfs;https://github.com/mtth/hdfs;196;2020-03-11;4;;11;111;100;64;20;798;39
texttable;https://github.com/foutaise/texttable;254;2020-09-06;1;83;0;38;38;10;8;;
asgiref;https://github.com/django/asgiref;700;2020-09-07;5;35;16;72;72;26;46;;
torch;https://github.com/pytorch/pytorch;41709;2020-09-11;605;31;5000;11095;100;2;1567;40956;1738
sendgrid;https://github.com/sendgrid/sendgrid-python;1008;2020-09-10;12;31;61;423;100;73;165;5454;72
multiprocess;https://github.com/uqfoundation/multiprocess;248;2020-06-16;3;173;28;39;39;198;2;1993;115
sympy;https://github.com/sympy/sympy;7334;2020-09-10;356;51;3400;6919;100;7;913;22967;700
flask-admin;https://github.com/flask-admin/flask-admin;4383;2020-09-04;27;154;294;886;100;35;267;8238;110
filemagic;https://github.com/aliles/filemagic;31;2014-02-04;0;;7;5;5;21;5;225;26
emoji;https://github.com/carpedm20/emoji;1067;2020-08-02;2;2213;42;34;34;125;35;10084;175
apache-airflow;https://github.com/apache/airflow;18194;2020-09-11;152;12;588;1176;100;4;1310;1187;157
scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;1911;2020-09-04;28;74;142;348;100;148;58;936;64
jupyterlab;https://github.com/jupyterlab/jupyterlab;10216;2020-09-11;424;;1500;3447;100;10;331;24653;236
pastedeploy;https://github.com/pylons/pastedeploy;14;2020-02-02;13;20;2;12;12;4;16;;
jplephem;https://github.com/brandon-rhodes/python-jplephem;66;2020-09-02;2;171;3;27;27;65;8;;
dominate;https://github.com/knio/dominate;1099;2020-08-22;3;295;8;94;93;229;18;;
httpretty;https://github.com/gabrielfalcao/httpretty;1807;2020-03-26;5;106;83;123;100;604;87;3375;244
python-socketio;https://github.com/miguelgrinberg/python-socketio;1956;2020-08-14;5;27;40;429;100;19;41;11411;130
diskcache;https://github.com/grantjenks/python-diskcache;761;2020-09-09;11;21;8;117;100;56;17;;
python-engineio;https://github.com/miguelgrinberg/python-engineio;150;2020-09-02;7;18;4;126;100;53;26;8802;43
dash;https://github.com/plotly/dash;12845;2020-09-04;53;32;351;519;100;13;52;12604;178
ninja;https://github.com/ninja-build/ninja;5990;2020-09-10;23;145;211;494;100;15;189;;
cftime;https://github.com/unidata/cftime;33;2020-08-18;13;58;7;86;86;55;23;;
pathlib-mate;https://github.com/machu-gwu/pathlib_mate-project;5;2020-03-14;1;292;0;1;1;1;;;
python-decouple;https://github.com/henriquebastos/python-decouple;1474;2020-02-06;1;298;7;45;45;205;19;23876;84
moviepy;https://github.com/zulko/moviepy;6823;2020-09-08;10;198;290;587;100;14;110;4215;121
thriftpy2;https://github.com/thriftpy/thriftpy2;357;2020-08-19;36;17;10;54;54;26;56;155;23
slimit;https://github.com/rspivak/slimit;516;2018-08-08;3;157;52;36;36;114;10;;
platformio;https://github.com/platformio/platformio-core;4351;2020-09-10;66;22;120;3123;100;8;42;;
radon;https://github.com/rubik/radon;1127;2020-08-03;5;72;16;122;100;55;38;1343;56
ggplot;https://github.com/yhat/ggplot;3569;2016-11-20;3;;172;290;0;;16;657;11
flake8-commas;https://github.com/pycqa/flake8-commas;112;2019-06-17;2;86;4;25;25;170;9;;
opencensus-ext-azure;https://github.com/census-instrumentation/opencensus-python;512;2020-08-12;11;46;117;242;100;31;69;402;44
mkdocs-material;https://github.com/squidfunk/mkdocs-material;4590;2020-09-10;45;10;7;797;100;2;80;3617;132
prospector;https://github.com/pycqa/prospector;1297;2020-08-22;12;41;32;211;100;160;57;;
osqp;https://github.com/oxfordcontrol/osqp-wheels;1;2020-05-07;4;;1;1;1;2;;;
maturin;https://github.com/pyo3/maturin;372;2020-09-06;21;13;32;76;76;36;23;72;2
graphite-web;https://github.com/graphite-project/graphite-web;4999;2020-08-16;41;82;17;1072;100;81;337;49;2
fastcluster;https://github.com/dmuellner/fastcluster;61;2020-01-01;1;188;2;8;8;94;3;;
textdistance;https://github.com/life4/textdistance;1772;2020-04-13;7;244;;;;;6;;
nimbusml;https://github.com/microsoft/nimbusml;256;2020-06-18;11;692;72;137;100;24;21;;
flask-rq2;https://github.com/rq/flask-rq2;159;2020-03-12;2;112;16;32;32;79;15;182;5
xlwings;https://github.com/xlwings/xlwings;1788;2020-09-07;25;28;280;844;100;12;40;10254;47
selectors2;https://github.com/sethmlarson/selectors2;13;2020-07-21;1;236;0;0;;;4;;
trafaret;https://github.com/deepwalker/trafaret;151;2020-09-10;10;75;18;34;34;28;47;311;36
flask-limiter;https://github.com/alisaifee/flask-limiter;679;2020-08-25;6;45;12;89;89;195;27;;
deap;https://github.com/deap/deap;3819;2020-08-15;28;88;139;214;99;25;59;1185;72
ipfshttpclient;https://github.com/ipfs/py-ipfs-http-client;459;2020-09-06;8;91;16;95;0;;37;;
imagecodecs;https://github.com/scossu/imagecodecs;0;2019-06-03;0;;0;0;;;;;
pilkit;https://github.com/matthewwithanm/pilkit;169;2019-12-03;1;106;5;12;12;53;14;;
editorconfig;https://github.com/editorconfig/editorconfig;2190;2019-10-29;0;;148;282;100;63;3;;
cloudinary;https://github.com/cloudinary/pycloudinary;180;2020-09-04;4;50;8;80;80;238;34;2127;17
