package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
aadict;http://github.com/metagriffin/aadict;387812;;
abbyy;https://github.com/samueltc/ABBYY;710074;;
absl-py;https://github.com/abseil/abseil-py;82416326;36254;261
accumulation-tree;https://github.com/tkluck/accumulation_tree;5078253;;
acme;https://github.com/letsencrypt/letsencrypt;6911324;549;100
adal;https://github.com/AzureAD/azure-activedirectory-library-for-python;53323241;2026;69
addict;https://github.com/mewwts/addict;890849;879;104
adyen;https://github.com/Adyen/adyen-python-api-library;282007;24;1
aenum;https://github.com/aenum/aenum;10373764;;
aerospike;https://github.com/aerospike/aerospike-client-python;1037423;59;3
affine;https://github.com/sgillies/affine;1534731;858;52
affinegap;https://github.com/datamade/affinegap;441541;;
agate;https://github.com/wireservice/agate;1497559;404;13
aioamqp;https://github.com/polyconseil/aioamqp;326629;;
aioboto3;https://github.com/terrycain/aioboto3;394080;93;15
aiobotocore;https://github.com/aio-libs/aiobotocore;2984214;275;46
aiocache;https://github.com/argaen/aiocache;389454;271;21
aioconsole;https://github.com/vxgmichel/aioconsole;4873606;;
aiocontextvars;https://github.com/fantix/aiocontextvars;1106504;;
aiodataloader;https://github.com/syrusakbary/aiodataloader;295376;29;3
aiodns;http://github.com/saghul/aiodns;5384279;9053;195
aiofiles;https://github.com/Tinche/aiofiles;9349604;8414;301
aiogithubapi;https://github.com/ludeeus/aiogithubapi;1622643;;
aiohttp;https://github.com/aio-libs/aiohttp;55845371;48803;2891
aiohttp-cors;https://github.com/aio-libs/aiohttp-cors;1551227;;
aiohttp-jinja2;https://github.com/aio-libs/aiohttp_jinja2;616215;;
aiohttp-session;https://github.com/aio-libs/aiohttp_session;417012;;
aioitertools;https://github.com/omnilib/aioitertools;547075;;
aiokafka;https://github.com/aiokafka/aiokafka;708630;;
aiomysql;https://github.com/aio-libs/aiomysql;362843;7620;62
aioopenssl;https://github.com/horazont/aioopenssl;4894089;;
aiopg;https://github.com/aio-libs/aiopg;783796;1161;58
aio-pika;https://github.com/mosquito/aio-pika;644832;390;42
aioprometheus;https://github.com/claws/aioprometheus;2877981;16;9
aioredis;https://github.com/aio-libs/aioredis;3463551;5304;226
aioresponses;https://github.com/pnuckowski/aioresponses;1075153;;
aiormq;https://github.com/mosquito/aiormq;521558;;
aiosasl;https://github.com/horazont/aiosasl;4881069;;
aiosmtplib;https://github.com/cole/aiosmtplib;307850;;
aiosqlite;https://github.com/omnilib/aiosqlite;295215;;
aiostream;https://github.com/vxgmichel/aiostream;343278;73;11
aioxmpp;https://github.com/horazont/aioxmpp;4764048;57;6
airspeed;https://github.com/purcell/airspeed;410861;;6
alabaster;https://github.com/bitprophet/alabaster;23746025;31448;290
albumentations;https://github.com/albumentations-team/albumentations;392547;1417;52
alchemy-mock;https://github.com/miki725/alchemy-mock;381119;38;3
alembic;https://github.com/sqlalchemy/alembic;45658319;52859;486
alexapy;https://github.com/custom-components/alexa_media_player;388727;;
algoliasearch;https://github.com/algolia/algoliasearch-client-python;973521;;
aliyun-python-sdk-core;https://github.com/aliyun/aliyun-openapi-python-sdk;21011777;782;264
aliyun-python-sdk-ecs;https://github.com/aliyun-python-sdk-ecs/aliyun-python-sdk-ecs;20385015;;
aliyun-python-sdk-kms;https://github.com/aliyun-python-sdk-kms/aliyun-python-sdk-kms;757469;;
aliyunsdkcore;https://github.com/duangy/aliyunsdkcore;20076780;52;
allennlp;https://github.com/allenai/allennlp;342633;985;44
allure-python-commons;https://github.com/allure-framework/allure-python;1895984;1087;8
alpha-vantage;https://github.com/RomelTorres/alpha_vantage;1151352;;
altgraph;https://github.com/ronaldoussoren/altgraph;5618559;;
amazon-dax-client;https://github.com/amazon-dax-client/amazon-dax-client;1846608;;
amazon-kclpy;https://github.com/awslabs/amazon-kinesis-client-python;323816;;
amqp;http://github.com/celery/py-amqp;30314544;23677;116
amqplib;https://github.com/barryp/py-amqplib;464717;854;
anaconda;https://github.com/anaconda/anaconda;337849;;
analytics-python;https://github.com/segmentio/analytics-python;3577831;460;23
androguard;https://github.com/androguard/androguard;572842;194;25
aniso8601;https://github.com/aniso8601/aniso8601;19927507;;
annoy;https://github.com/spotify/annoy;1985892;1130;50
ansi2html;https://github.com/ralphbean/ansi2html;669975;393;47
ansible;https://github.com/ansible/ansible;41640560;12527;278
ansible-lint;https://github.com/ansible/ansible-lint;3420686;;
ansible-modules-hashivault;https://github.com/TerryHowe/ansible-modules-hashivault;283440;250;0
ansible-runner;https://github.com/ansible/ansible-runner;632188;358;10
ansible-tower-cli;https://github.com/ansible/tower-cli;1504519;;
ansible-vault;https://github.com/tomoh1r/ansible-vault;512545;115;3
ansicolors;https://github.com/jonathaneunice/colors;1393999;;
ansiwrap;https://github.com/jonathaneunice/ansiwrap;1930579;356;
antigate;http://github.com/gotlium/antigate;426588;24;3
antlr4-python2-runtime;https://github.com/antlr4-python2-runtime/antlr4-python2-runtime;1138381;;
antlr4-python3-runtime;https://github.com/antlr4-python3-runtime/antlr4-python3-runtime;7228626;;
anybadge;https://github.com/jongracecox/anybadge;388919;39;32
anyconfig;https://github.com/ssato/python-anyconfig;2022349;;
anyjson;https://github.com/ask/carrot;5668406;;7
anytemplate;https://github.com/ssato/python-anytemplate;388550;;
anytree;https://github.com/c0fec0de/anytree;1006412;;
apache-airflow;https://github.com/apache/airflow;5893845;1187;157
apache-beam;https://github.com/apache-beam/apache-beam;28138386;;
apache-libcloud;https://github.com/apache/libcloud;1221022;1237;111
apiclient;https://github.com/shazow/apiclient;1001114;;
apipkg;https://github.com/pytest-dev/apipkg;19672392;;
apispec;https://github.com/marshmallow-code/apispec;7648464;1692;122
apispec-webframeworks;https://github.com/marshmallow-code/apispec-webframeworks;428727;151;11
apns2;https://github.com/Pr0Ger/PyAPNs2;594469;352;7
appdirs;http://github.com/ActiveState/appdirs;90893079;63702;1342
appium-python-client;https://github.com/appium/python-client;2326749;1517;71
applicationinsights;https://github.com/Microsoft/ApplicationInsights-Python;31694587;915;28
appnope;http://github.com/minrk/appnope;9397742;46049;
apscheduler;https://github.com/agronholm/apscheduler;7796490;;
ara;https://github.com/ansible-community/ara;637969;;
area;https://github.com/scisco/area;350277;;4
argcomplete;https://github.com/kislyuk/argcomplete;26111795;6287;397
argh;https://github.com/neithere/argh;11140727;9512;212
argo-models;https://github.com/e2fyi/argo-models;279534;;
argon2-cffi;https://github.com/hynek/argon2-cffi;3623816;;
argparse;https://github.com/thomaswaldmann/argparse;83057852;;2225
args;https://github.com/kennethreitz/args;2222692;;
ariadne;https://github.com/mirumee/ariadne;462506;206;10
arpeggio;https://github.com/textX/Arpeggio;280466;207;
arrow;https://github.com/arrow-py/arrow;25462978;13688;814
artifactory;http://github.com/parallels/artifactory;940589;28;6
artifacts-keyring;https://github.com/Microsoft/artifacts-keyring;370844;;
arviz;http://github.com/arviz-devs/arviz;606314;411;24
asana;http://github.com/asana/python-asana;1528832;165;7
asciitree;http://github.com/mbr/asciitree;273563;;
ase;https://github.com/ase/ase;282233;;
asgi-redis;https://github.com/django/asgi_redis;353796;;
asgiref;https://github.com/django/asgiref;13885068;;
asn1crypto;https://github.com/wbond/asn1crypto;105633231;63068;261
aspy-refactor-imports;https://github.com/asottile/aspy.refactor_imports;734947;;
aspy-yaml;https://github.com/asottile/aspy.yaml;7640950;;
assertpy;https://github.com/assertpy/assertpy;778574;296;16
asset;http://github.com/metagriffin/asset;727321;;
ast;https://github.com/yijunyu/needle;350698;;
asteval;http://github.com/newville/asteval;641395;343;31
astor;https://github.com/berkerpeksag/astor;47751369;;
astral;https://github.com/sffjunkie/astral;3233856;635;34
astroid;https://github.com/PyCQA/astroid;55472730;102430;303
