Package name;Useless;Right URL;Old URL
future;True;https://github.com/future/future;https://github.com/PythonCharmers/python-future
googleapis-common-protos;False;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/googleapis
google-cloud-core;False;https://github.com/googleapis/python-cloud-core;https://github.com/GoogleCloudPlatform/google-cloud-python
websocket-client;False;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client.git
pyrsistent;False;https://github.com/tobgu/pyrsistent;http://github.com/tobgu/pyrsistent
awscli-cwlogs;True;https://github.com/awscli-cwlogs/awscli-cwlogs;
google-resumable-media;False;https://github.com/googleapis/google-resumable-media-python;https://github.com/GoogleCloudPlatform/google-resumable-media-python
pbr;True;https://github.com/pbr/pbr;
beautifulsoup4;True;https://github.com/beautifulsoup4/beautifulsoup4;
typing;False;https://github.com/python/typing;https://github.com/python/cpython
argparse;False;https://github.com/thomaswaldmann/argparse;https://github.com/ThomasWaldmann/argparse
isodate;False;http://github.com/gweis/isodate;https://github.com/gweis/isodate
pycodestyle;False;http://github.com/PyCQA/pycodestyle;https://github.com/PyCQA/pycodestyle
markdown;False;https://github.com/python-markdown/markdown;https://github.com/Python-Markdown/markdown
ipython-genutils;True;https://github.com/ipython-genutils/ipython-genutils;https://github.com/ipython/ipython_genutils
funcsigs;False;https://github.com/testing-cabal/funcsigs;https://github.com/aliles/funcsigs
azure-storage-blob;False;https://github.com/azure/azure-sdk-for-python;https://github.com/Azure/azure-sdk-for-python
termcolor;True;https://github.com/termcolor/termcolor;
contextlib2;True;https://github.com/contextlib2/contextlib2;https://github.com/jazzband/contextlib2
flake8;True;https://github.com/flake8/flake8;https://github.com/PyCQA/flake8
requests-toolbelt;False;https://github.com/requests/toolbelt;https://github.com/requests/toolbelt/
isort;False;https://github.com/pycqa/isort;https://github.com/timothycrosley/isort
oauth2client;False;https://github.com/google/oauth2client;http://github.com/google/oauth2client
google-cloud-bigquery;False;https://github.com/googleapis/python-bigquery;https://github.com/GoogleCloudPlatform/google-cloud-python
babel;False;https://github.com/babel/babel;https://github.com/python-babel/babel
jupyter-core;True;https://github.com/jupyter-core/jupyter-core;https://github.com/jupyter/jupyter_core
pymysql;False;https://github.com/pymysql/pymysql;https://github.com/PyMySQL/PyMySQL
nbformat;True;https://github.com/nbformat/nbformat;https://github.com/jupyter/nbformat
ordereddict;True;https://github.com/ordereddict/ordereddict;
pycrypto;False;https://github.com/pycrypto/pycrypto;https://github.com/dlitz/pycrypto
ipykernel;True;https://github.com/ipykernel/ipykernel;https://github.com/ipython/ipykernel
regex;True;https://github.com/regex/regex;
jupyter-client;False;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client/
py4j;True;https://github.com/py4j/py4j;https://github.com/bartdag/py4j
dnspython;True;https://github.com/dnspython/dnspython;https://github.com/rthalley/dnspython
xlrd;True;https://github.com/xlrd/xlrd;https://github.com/python-excel/xlrd
notebook;True;https://github.com/notebook/notebook;https://github.com/jupyter/notebook
ipywidgets;True;https://github.com/ipywidgets/ipywidgets;https://github.com/jupyter-widgets/ipywidgets
ply;True;https://github.com/ply/ply;https://github.com/dabeaz/ply
widgetsnbextension;True;https://github.com/widgetsnbextension/widgetsnbextension;https://github.com/jupyter-widgets/ipywidgets
simplegeneric;True;https://github.com/simplegeneric/simplegeneric;https://github.com/msgpack/msgpack-python
ruamel-yaml;False;https://github.com/pypa/setuptools;
singledispatch;True;https://github.com/singledispatch/singledispatch;https://github.com/python/cpython
s3fs;False;https://github.com/dask/s3fs;http://github.com/dask/s3fs
jupyter-console;True;https://github.com/jupyter-console/jupyter-console;https://github.com/jupyter/jupyter_console
jupyter;False;https://github.com/jupyter/jupyter;
selenium;False;https://github.com/SeleniumHQ/Selenium;https://github.com/SeleniumHQ/selenium
apache-beam;True;https://github.com/apache-beam/apache-beam;https://github.com/apache/beam
kombu;True;https://github.com/kombu/kombu;https://github.com/celery/kombu
thrift;True;https://github.com/thrift/thrift;https://github.com/apache/thrift
bs4;True;https://github.com/bs4/bs4;
sklearn;True;https://github.com/sklearn/sklearn;https://github.com/scikit-learn/scikit-learn
backports-ssl-match-hostname;True;https://github.com/backports-ssl-match-hostname/backports-ssl-match-hostname;
distlib;True;https://github.com/distlib/distlib;
importlib-resources;True;https://github.com/importlib-resources/importlib-resources;
openpyxl;True;https://github.com/openpyxl/openpyxl;
lockfile;True;https://github.com/lockfile/lockfile;
arrow;False;https://github.com/arrow-py/arrow;https://github.com/crsmithdev/arrow
mypy;True;https://github.com/mypy/mypy;https://github.com/python/mypy
mozrunner;True;https://github.com/mozrunner/mozrunner;
et-xmlfile;True;https://github.com/et-xmlfile/et-xmlfile;
mozlog;True;https://github.com/mozlog/mozlog;
gensim;False;https://github.com/rare-technologies/gensim;https://github.com/RaRe-Technologies/gensim
iso8601;True;https://github.com/iso8601/iso8601;
tensorflow-serving-api;True;https://github.com/tensorflow-serving-api/tensorflow-serving-api;
google-cloud-bigtable;False;https://github.com/googleapis/python-bigtable;https://github.com/GoogleCloudPlatform/google-cloud-python
pathlib;True;https://github.com/pathlib/pathlib;
prettytable;True;https://github.com/prettytable/prettytable;
ruamel-yaml-clib;True;https://github.com/ruamel-yaml-clib/ruamel-yaml-clib;
execnet;False;https://github.com/python/black;https://github.com/pytest-dev/execnet
aniso8601;True;https://github.com/aniso8601/aniso8601;
aliyun-python-sdk-ecs;True;https://github.com/aliyun-python-sdk-ecs/aliyun-python-sdk-ecs;https://github.com/aliyun/aliyun-openapi-python-sdk
s3cmd;False;https://github.com/s3cmd/s3cmd;https://github.com/s3tools/s3cmd
azure-core;False;https://github.com/azure/azure-sdk-for-python;https://github.com/Azure/azure-sdk-for-python
stevedore;True;https://github.com/stevedore/stevedore;https://github.com/openstack/stevedore
python-dotenv;False;https://github.com/theskumar/python-dotenv;http://github.com/theskumar/python-dotenv
bottle;True;https://github.com/bottle/bottle;https://github.com/bottlepy/bottle
avro;True;https://github.com/avro/avro;https://github.com/apache/avro
pytest-timeout;False;https://github.com/pytest-dev/pytest-timeout;http://github.com/pytest-dev/pytest-timeout
python-daemon;True;https://github.com/python-daemon/python-daemon;
pkginfo;True;https://github.com/pkginfo/pkginfo;
mozdevice;True;https://github.com/mozdevice/mozdevice;
jeepney;True;https://github.com/jeepney/jeepney;
blinker;True;https://github.com/blinker/blinker;https://github.com/jek/blinker
mozinfo;True;https://github.com/mozinfo/mozinfo;
uwsgi;True;https://github.com/uwsgi/uwsgi;https://github.com/unbit/uwsgi
mozprofile;True;https://github.com/mozprofile/mozprofile;
azure-keyvault;False;https://github.com/azure/azure-sdk-for-python;https://github.com/Azure/azure-sdk-for-python
mozprocess;True;https://github.com/mozprocess/mozprocess;
azure-storage-queue;False;https://github.com/azure/azure-sdk-for-python;https://github.com/Azure/azure-sdk-for-python
mysql-connector-python;True;https://github.com/mysql-connector-python/mysql-connector-python;https://github.com/mysql/mysql-connector-python
mozterm;True;https://github.com/mozterm/mozterm;
sphinxcontrib-htmlhelp;True;https://github.com/sphinxcontrib-htmlhelp/sphinxcontrib-htmlhelp;https://github.com/sphinx-doc/sphinxcontrib-htmlhelp
sphinxcontrib-serializinghtml;True;https://github.com/sphinxcontrib-serializinghtml/sphinxcontrib-serializinghtml;https://github.com/sphinx-doc/sphinxcontrib-serializinghtml
sphinxcontrib-qthelp;True;https://github.com/sphinxcontrib-qthelp/sphinxcontrib-qthelp;https://github.com/sphinx-doc/sphinxcontrib-qthelp
sphinxcontrib-applehelp;True;https://github.com/sphinxcontrib-applehelp/sphinxcontrib-applehelp;https://github.com/sphinx-doc/sphinxcontrib-applehelp
sphinxcontrib-devhelp;True;https://github.com/sphinxcontrib-devhelp/sphinxcontrib-devhelp;https://github.com/sphinx-doc/sphinxcontrib-devhelp
webob;False;https://github.com/pylons/webob;https://github.com/Pylons/webob
pep8;False;http://github.com/PyCQA/pep8;https://github.com/pycqa/pep8
sphinxcontrib-jsmath;True;https://github.com/sphinxcontrib-jsmath/sphinxcontrib-jsmath;https://github.com/sphinx-doc/sphinxcontrib-jsmath
geographiclib;True;https://github.com/geographiclib/geographiclib;
crcmod;True;https://github.com/crcmod/crcmod;
google;True;https://github.com/google/google;
msgpack-python;True;https://github.com/msgpack-python/msgpack-python;https://github.com/msgpack/msgpack-python
