Package name;GitHub URL
urllib3;https://github.com/urllib3/urllib3
six;https://github.com/benjaminp/six
botocore;https://github.com/boto/botocore
requests;https://github.com/psf/requests
python-dateutil;https://github.com/dateutil/dateutil
certifi;https://github.com/certifi/python-certifi
s3transfer;https://github.com/boto/s3transfer
idna;https://github.com/kjd/idna
chardet;https://github.com/chardet/chardet
pip;https://github.com/pypa/pip
setuptools;https://github.com/pypa/setuptools
pyyaml;https://github.com/yaml/pyyaml
jmespath;https://github.com/jmespath/jmespath.py
pyasn1;https://github.com/etingof/pyasn1
rsa;https://github.com/sybrenstuvel/python-rsa
pytz;https://github.com/stub42/pytz
boto3;https://github.com/boto/boto3
numpy;https://github.com/numpy/numpy
awscli;https://github.com/aws/aws-cli
colorama;https://github.com/tartley/colorama
wheel;https://github.com/pypa/wheel
futures;https://github.com/agronholm/pythonfutures
markupsafe;https://github.com/pallets/markupsafe
protobuf;https://github.com/protocolbuffers/protobuf
jinja2;https://github.com/pallets/jinja
simplejson;https://github.com/simplejson/simplejson
cryptography;https://github.com/pyca/cryptography
attrs;https://github.com/python-attrs/attrs
click;https://github.com/pallets/click
importlib-metadata;https://github.com/python/importlib_metadata
pyasn1-modules;https://github.com/etingof/pyasn1-modules
future;https://github.com/pythoncharmers/python-future
zipp;https://github.com/jaraco/zipp
pandas;https://github.com/pandas-dev/pandas
pyparsing;https://github.com/pyparsing/pyparsing
cachetools;https://github.com/tkem/cachetools
pycparser;https://github.com/eliben/pycparser
oauthlib;https://github.com/oauthlib/oauthlib
google-auth;https://github.com/googleapis/google-auth-library-python
requests-oauthlib;https://github.com/requests/requests-oauthlib
werkzeug;https://github.com/pallets/werkzeug
decorator;https://github.com/micheles/decorator
scipy;https://github.com/scipy/scipy
packaging;https://github.com/pypa/packaging
google-api-core;https://github.com/googleapis/python-api-core
wcwidth;https://github.com/jquast/wcwidth
more-itertools;https://github.com/more-itertools/more-itertools
grpcio;https://github.com/grpc/grpc
googleapis-common-protos;https://github.com/googleapis/python-api-common-protos
