package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
urllib3;1086396695;https://github.com/urllib3/urllib3;2401;19/08/2020;31;54;124;670;100;25;232;345657;3423
six;945159894;https://github.com/benjaminp/six;690;21/05/2020;11;55;80;168;100;404;53;590673;14299
botocore;823324387;https://github.com/boto/botocore;863;20/08/2020;75;2;124;564;100;35;121;48987;814
requests;786762026;https://github.com/psf/requests;43317;18/08/2020;52;25;241;2969;100;9;590;614978;32932
python-dateutil;765312065;https://github.com/dateutil/dateutil;1384;28/08/2020;21;111;196;337;100;49;106;;
certifi;738148393;https://github.com/certifi/python-certifi;393;20/06/2020;1;99;11;65;64;91;24;341662;2475
s3transfer;733018305;https://github.com/boto/s3transfer;87;13/06/2020;7;80;15;19;19;43;15;41154;203
idna;714786482;https://github.com/kjd/idna;123;02/07/2020;1;120;3;50;49;76;11;;
chardet;655765806;https://github.com/chardet/chardet;1348;12/11/2019;3;327;49;55;54;187;32;318368;2008
pip;654680592;https://github.com/pypa/pip;6494;18/08/2020;94;40;739;4165;100;4;514;31387;989
setuptools;645701714;https://github.com/pypa/setuptools;1075;21/08/2020;185;3;483;1094;100;4;317;58753;11656
pyyaml;637746128;https://github.com/yaml/pyyaml;1172;19/03/2020;2;94;121;164;100;77;32;199676;11399
jmespath;584905365;https://github.com/jmespath/jmespath.py;1084;12/05/2020;5;114;31;60;60;62;20;49365;440
pyasn1;578415922;https://github.com/etingof/pyasn1;161;21/03/2020;17;90;36;61;61;39;13;81135;667
rsa;565699866;https://github.com/sybrenstuvel/python-rsa;265;15/06/2020;8;56;10;70;69;455;26;49831;331
pytz;469764017;https://github.com/stub42/pytz;123;15/06/2020;11;25;8;18;18;24;11;481907;4071
boto3;464866307;https://github.com/boto/boto3;5701;20/08/2020;42;3;276;1793;100;8;89;66663;3575
numpy;437086672;https://github.com/numpy/numpy;14640;20/08/2020;199;20;1900;6954;100;3;990;444954;25783
awscli;420684707;https://github.com/aws/aws-cli;10058;09/09/2020;91;2;622;2562;100;12;240;15708;278
colorama;418462352;https://github.com/tartley/colorama;2178;28/04/2020;3;232;83;86;83;56;35;113258;2925
wheel;399794725;https://github.com/pypa/wheel;195;15/08/2020;19;24;20;270;100;55;52;;
futures;347315914;https://github.com/agronholm/pythonfutures;210;09/01/2020;1;132;5;62;62;94;13;21870;861
markupsafe;332028359;https://github.com/pallets/markupsafe;341;17/08/2020;1;185;0;62;62;133;28;402660;998
protobuf;329723957;https://github.com/protocolbuffers/protobuf;43657;08/09/2020;104;25;1000;3083;100;12;664;86875;1362
jinja2;311487056;https://github.com/pallets/jinja;7213;07/08/2020;18;97;48;640;100;15;230;427244;5259
simplejson;309736011;https://github.com/simplejson/simplejson;1300;16/07/2020;5;34;9;155;100;23;30;45113;2062
cryptography;279792381;https://github.com/pyca/cryptography;3467;17/08/2020;94;33;24;1459;100;26;203;106652;2191
attrs;277066386;https://github.com/python-attrs/attrs;3183;21/08/2020;11;106;83;316;100;56;87;144083;1946
click;264781935;https://github.com/pallets/click;9659;17/08/2020;21;64;91;915;100;30;251;327049;11513
importlib-metadata;246378225;https://github.com/python/importlib_metadata;8;2021-02-24;218;2;8;264;100;2;25;;
pyasn1-modules;245938565;https://github.com/etingof/pyasn1-modules;28;21/03/2020;6;102;2;12;12;52;7;;
future;241554856;https://github.com/pythoncharmers/python-future;1119;2020-11-27;20;55;169;194;100;285;92;123700;3875
zipp;238399218;https://github.com/jaraco/zipp;19;24/07/2020;15;27;5;28;28;7;7;;
pandas;233578393;https://github.com/pandas-dev/pandas;26204;20/08/2020;198;30;3500;15170;100;3;2060;266981;13640
pyparsing;228188646;https://github.com/pyparsing/pyparsing;853;20/08/2020;16;31;23;107;100;26;27;200277;1413
cachetools;222701004;https://github.com/tkem/cachetools;751;28/06/2020;2;71;11;150;100;81;3;;
pycparser;220636529;https://github.com/eliben/pycparser;2024;18/08/2020;5;125;7;242;100;43;61;121865;481
oauthlib;216490470;https://github.com/oauthlib/oauthlib;2074;28/07/2020;14;63;61;254;100;103;148;83041;384
google-auth;216027891;https://github.com/googleapis/google-auth-library-python;339;06/08/2020;7;22;35;190;100;56;64;30729;346
requests-oauthlib;214771269;https://github.com/requests/requests-oauthlib;1279;14/05/2020;5;157;72;129;100;165;88;76235;584
werkzeug;197742586;https://github.com/pallets/werkzeug;5418;17/08/2020;36;56;38;762;100;14;368;347617;1396
decorator;197486884;https://github.com/micheles/decorator;433;27/07/2020;3;410;2;54;54;36;17;142195;917
scipy;188420981;https://github.com/scipy/scipy;7428;20/08/2020;213;28;1200;5385;100;8;900;220210;11177
packaging;184987665;https://github.com/pypa/packaging;230;19/08/2020;5;78;32;101;100;104;54;110330;1128
google-api-core;183602669;https://github.com/googleapis/python-api-core;10;12/08/2020;22;5;7;22;22;19;33;11500;162
wcwidth;177238272;https://github.com/jquast/wcwidth;164;14/07/2020;2;178;7;18;18;159;8;127640;431
more-itertools;172880256;https://github.com/more-itertools/more-itertools;1493;19/08/2020;9;97;5;123;100;28;50;77795;581
