package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;vulns;license
urllib3;1086396695;https://github.com/urllib3/urllib3;2603;2021-03-19;31;52;137;757;100;21;236;504101;4439;8;MIT License
six;945159894;https://github.com/benjaminp/six;750;2021-01-28;10;;85;171;100;386;55;798027;15639;0;MIT License
botocore;823324387;https://github.com/boto/botocore;927;2021-03-19;76;;117;628;100;55;127;74636;946;0;Apache-2.0 License
requests;786762026;https://github.com/psf/requests;44832;2021-03-19;49;;248;3108;100;1;607;847404;51478;6;Apache-2.0 License
python-dateutil;765312065;https://github.com/dateutil/dateutil;1528;2020-09-28;19;122;210;342;100;49;107;;;0;Apache License (text)
certifi;738148393;https://github.com/certifi/python-certifi;431;2020-12-05;1;;6;78;78;138;25;501070;3219;1;Mozilla Public License (text)
s3transfer;733018305;https://github.com/boto/s3transfer;108;2021-03-18;7;;18;20;20;41;16;64500;246;0;Apache-2.0 License
idna;714786482;https://github.com/kjd/idna;138;2021-01-29;2;;4;52;51;76;16;;;0;BSD-3-Clause License
chardet;655765806;https://github.com/chardet/chardet;1471;2020-12-16;3;316;52;58;57;179;37;464658;2622;0;LGPL-2.1 License
pip;654680592;https://github.com/pypa/pip;6978;2021-03-22;95;;842;4624;100;5;539;44011;1182;5;MIT License
setuptools;645701714;https://github.com/pypa/setuptools;1319;2021-03-22;172;3;518;1220;100;12;357;81365;12742;4;MIT License
pyyaml;637746128;https://github.com/yaml/pyyaml;1411;2021-01-20;2;;136;197;100;67;35;281703;13623;4;MIT License
jmespath;584905365;https://github.com/jmespath/jmespath.py;1282;2020-05-12;;;40;62;62;60;20;75216;518;0;License not permissive (text)
pyasn1;578415922;https://github.com/etingof/pyasn1;174;2020-03-21;15;102;36;62;62;43;13;113675;777;0;BSD-2-Clause License
rsa;565699866;https://github.com/sybrenstuvel/python-rsa;308;2021-02-24;8;;12;80;79;400;28;;;5;Apache License (text)
pytz;469764017;https://github.com/stub42/pytz;151;2021-03-22;10;;15;21;21;62;12;674167;4787;0;MIT License
boto3;464866307;https://github.com/boto/boto3;6224;2021-03-19;44;3;259;2009;100;8;99;99498;4281;1;Apache-2.0 License
numpy;437086672;https://github.com/numpy/numpy;16596;2021-03-22;205;21;2000;7397;100;4;1085;622138;32616;4;BSD-3-Clause License
awscli;420684707;https://github.com/aws/aws-cli;10799;2021-03-19;91;;533;2892;100;7;258;19931;304;1;Apache License (text)
colorama;418462352;https://github.com/tartley/colorama;2406;2021-02-11;3;;90;101;97;86;36;169562;3675;0;BSD-3-Clause License
wheel;399794725;https://github.com/pypa/wheel;229;2021-02-08;16;;21;287;100;43;54;;;0;MIT License (text)
futures;347315914;https://github.com/agronholm/pythonfutures;214;2020-01-09;1;;5;62;62;94;13;25191;891;0;Python Software Foundation (text)
