package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
urllib3;1086396695;https://github.com/urllib3/urllib3;2401;2020-08-19;31;54;124;670;100;25;232;345657;3423;https://libraries.io/pypi/urllib3;24;1670;37700
six;945159894;https://github.com/benjaminp/six;690;2020-05-21;11;;80;168;100;404;53;590673;14299;https://libraries.io/pypi/six;27;5910;122000
botocore;823324387;https://github.com/boto/botocore;863;2020-08-20;75;;124;564;100;35;121;48987;814;https://libraries.io/pypi/botocore;21;344;7060
requests;786762026;https://github.com/psf/requests;43317;2020-08-18;52;;241;2969;100;9;590;614978;32932;https://libraries.io/pypi/requests;31;14500;152000
python-dateutil;765312065;;;;;;;;;;;;;https://libraries.io/pypi/python-dateutil;23;2440;58300
certifi;738148393;https://github.com/certifi/python-certifi;393;2020-06-20;1;;11;65;64;91;24;341662;2475;https://libraries.io/pypi/certifi;24;1150;39700
s3transfer;733018305;https://github.com/boto/s3transfer;87;2020-06-13;7;;15;19;19;43;15;41154;203;https://libraries.io/pypi/s3transfer;20;80;3940
idna;714786482;https://github.com/kjd/idna;123;2020-07-02;1;;3;50;49;76;11;;;https://libraries.io/pypi/idna;22;592;35300
docutils;662041713;;;;;;;;;;;;;https://libraries.io/pypi/docutils;15;438;24800
chardet;655765806;https://github.com/chardet/chardet;1348;2019-11-12;3;327;49;55;54;187;32;318368;2008;https://libraries.io/pypi/chardet;23;762;36400
pip;654680592;https://github.com/pypa/pip;6494;2020-08-18;94;;739;4165;100;4;514;31387;989;https://libraries.io/pypi/pip;23;291;9330
setuptools;645701714;https://github.com/pypa/setuptools;1075;2020-08-21;185;3;483;1094;100;4;317;58753;11656;https://libraries.io/pypi/setuptools;23;2610;29000
pyyaml;637746128;https://github.com/yaml/pyyaml;1172;2020-03-19;2;;121;164;100;77;32;199676;11399;https://libraries.io/pypi/PyYAML;26;4450;57200
jmespath;584905365;https://github.com/jmespath/jmespath.py;1084;2020-05-12;;;31;60;60;62;20;;;https://libraries.io/pypi/jmespath;21;174;6200
pyasn1;578415922;https://github.com/etingof/pyasn1;161;2020-03-21;17;90;36;61;61;39;13;;;https://libraries.io/pypi/pyasn1;19;185;13800
rsa;565699866;;;;;;;;;;;;;https://libraries.io/pypi/rsa;15;112;6330
pytz;469764017;https://github.com/stub42/pytz;123;2020-06-15;11;;8;18;18;24;11;481907;4071;https://libraries.io/pypi/pytz;24;1360;77500
boto3;464866307;https://github.com/boto/boto3;5701;2020-08-20;42;3;276;1793;100;8;89;66663;3575;https://libraries.io/pypi/boto3;25;1430;11500
numpy;437086672;https://github.com/numpy/numpy;14640;2020-08-20;199;20;1900;6954;100;3;990;444954;25783;https://libraries.io/pypi/numpy;29;5060;84900
awscli;420684707;;;;;;;;;;;;;https://libraries.io/pypi/awscli;15;110;2710
colorama;418462352;https://github.com/tartley/colorama;2178;2020-04-28;3;;83;86;83;56;35;113258;2925;https://libraries.io/pypi/colorama;21;1210;15800
wheel;399794725;https://github.com/pypa/wheel;195;2020-08-15;19;;20;270;100;55;52;;;https://libraries.io/pypi/wheel;21;429;31300
futures;347315914;https://github.com/agronholm/pythonfutures;210;2020-01-09;1;;5;62;62;94;13;21870;861;https://libraries.io/pypi/futures;20;269;6890
markupsafe;332028359;https://github.com/pallets/markupsafe;341;2020-08-17;1;;0;62;62;133;28;;;https://libraries.io/pypi/MarkupSafe;21;238;73300
protobuf;329723957;;;;;;;;;;;;;https://libraries.io/pypi/protobuf;17;580;12500
jinja2;311487056;https://github.com/pallets/jinja;7213;2020-08-07;18;97;48;640;100;15;230;427244;5259;https://libraries.io/pypi/Jinja2;26;1900;93500
simplejson;309736011;https://github.com/simplejson/simplejson;1300;2020-07-16;5;34;9;155;100;23;30;45113;2062;https://libraries.io/pypi/simplejson;23;598;19500
cffi;305360575;;;;;;;;;;;;;https://libraries.io/pypi/cffi;15;306;18000
cryptography;279792381;https://github.com/pyca/cryptography;3467;2020-08-17;94;;24;1459;100;26;203;106652;2191;https://libraries.io/pypi/cryptography;24;872;16900
attrs;277066386;https://github.com/python-attrs/attrs;3183;2020-08-21;11;106;83;316;100;56;87;144083;1946;https://libraries.io/pypi/attrs;24;840;14000
click;264781935;https://github.com/pallets/click;9659;2020-08-17;21;64;91;915;100;30;251;327049;11513;https://libraries.io/pypi/click;27;4700;54700
importlib-metadata;246378225;;;;;;;;;;;;;https://libraries.io/pypi/importlib-metadata;14;239;3070
pyasn1-modules;245938565;https://github.com/etingof/pyasn1-modules;28;2020-03-21;6;102;2;12;12;52;7;;;https://libraries.io/pypi/pyasn1-modules;18;73;6130
future;241554856;;;;;;;;;;;;;https://libraries.io/pypi/future;16;1400;14200
zipp;238399218;https://github.com/jaraco/zipp;19;2020-07-24;15;;5;28;28;7;7;;;https://libraries.io/pypi/zipp;19;80;2910
pandas;233578393;https://github.com/pandas-dev/pandas;26204;2020-08-20;198;30;3500;15170;100;3;2060;266981;13640;https://libraries.io/pypi/pandas;26;1480;38400
pyparsing;228188646;;;;;;;;;;;;;https://libraries.io/pypi/pyparsing;23;363;29500
cachetools;222701004;;;;;;;;;;;;;https://libraries.io/pypi/cachetools;20;186;2220
pycparser;220636529;https://github.com/eliben/pycparser;2024;2020-08-18;5;;7;242;100;43;61;121865;481;https://libraries.io/pypi/pycparser;20;130;16100
oauthlib;216490470;https://github.com/oauthlib/oauthlib;2074;2020-07-28;14;63;61;254;100;103;148;;;https://libraries.io/pypi/oauthlib;22;73;10200
google-auth;216027891;https://github.com/googleapis/google-auth-library-python;339;2020-08-06;7;22;35;190;100;56;64;30729;346;https://libraries.io/pypi/google-auth;21;165;1830
requests-oauthlib;214771269;https://github.com/requests/requests-oauthlib;1279;2020-05-14;5;157;72;129;100;165;88;76235;584;https://libraries.io/pypi/requests-oauthlib;21;227;10900
