Package name;Right URL;Useless;Old URL
python-dateutil;https://github.com/dateutil/dateutil;False;
docutils;https://github.com/docutils/docutils;False;
awscli;https://github.com/aws/aws-cli;False;
cffi;https://github.com/cffi/cffi;False;https://github.com/python-cffi/release-doc
importlib-metadata;https://github.com/importlib-metadata/importlib-metadata;True;
future;https://github.com/future/future;True;https://github.com/PythonCharmers/python-future
grpcio;https://github.com/grpc/grpc;False;
enum34;https://github.com/enum34/enum34;True;
pexpect;https://github.com/pexpect/pexpect;False;
beautifulsoup4;https://github.com/beautifulsoup4/beautifulsoup4;True;
pycodestyle;http://github.com/PyCQA/pycodestyle;False;
ipython-genutils;https://github.com/ipython-genutils/ipython-genutils;True;
uritemplate;https://github.com/python-hyper/uritemplate;False;
pbr;https://github.com/pbr/pbr;True;
typing;https://github.com/python/typing;False;https://github.com/python/cpython
tensorflow-estimator;https://github.com/tensorflow/estimator;False;
h5py;https://github.com/h5py/h5py;False;
termcolor;https://github.com/termcolor/termcolor;True;
flake8;https://github.com/flake8/flake8;True;
jupyter-core;https://github.com/jupyter-core/jupyter-core;True;
contextlib2;https://github.com/contextlib2/contextlib2;True;https://github.com/jazzband/contextlib2
nbformat;https://github.com/nbformat/nbformat;True;
funcsigs;https://github.com/testing-cabal/funcsigs;False;
ipykernel;https://github.com/ipykernel/ipykernel;True;
docopt;https://github.com/docopt/docopt;False;
jupyter-client;https://github.com/jupyter/jupyter_client;False;
awscli-cwlogs;https://github.com/awscli-cwlogs/awscli-cwlogs;True;
regex;https://github.com/regex/regex;True;
requests-toolbelt;https://github.com/requests/toolbelt;False;
notebook;https://github.com/notebook/notebook;True;
pyarrow;https://github.com/apache/arrow;False;
babel;https://github.com/babel/babel;False;https://github.com/python-babel/babel
widgetsnbextension;https://github.com/widgetsnbextension/widgetsnbextension;True;
ipywidgets;https://github.com/ipywidgets/ipywidgets;True;
typing-extensions;https://github.com/python/typing;False;
py4j;https://github.com/py4j/py4j;True;https://github.com/bartdag/py4j
ordereddict;https://github.com/ordereddict/ordereddict;True;
jupyter-console;https://github.com/jupyter-console/jupyter-console;True;
dnspython;https://github.com/dnspython/dnspython;True;https://github.com/rthalley/dnspython
jupyter;https://github.com/jupyter/jupyter;False;
tensorflow-metadata;https://github.com/tensorflow/metadata;False;
xlrd;https://github.com/xlrd/xlrd;True;https://github.com/python-excel/xlrd
distlib;https://github.com/distlib/distlib;True;
pycrypto;https://github.com/pycrypto/pycrypto;False;https://github.com/dlitz/pycrypto
simplegeneric;https://github.com/simplegeneric/simplegeneric;True;
cython;https://github.com/cython/cython;False;
pycryptodomex;https://github.com/Legrandin/pycryptodome;False;
tensorflow-transform;https://github.com/tensorflow/transform;False;
ansible;https://github.com/ansible/ansible;False;
importlib-resources;https://github.com/importlib-resources/importlib-resources;True;https://github.com/python/importlib_resources
tensorflow-serving-api;https://github.com/tensorflow-serving-api/tensorflow-serving-api;True;
ruamel-yaml;https://github.com/pypa/setuptools;False;
pyspark;https://github.com/apache/spark;False;
ply;https://github.com/ply/ply;True;
singledispatch;https://github.com/singledispatch/singledispatch;True;
bs4;https://github.com/bs4/bs4;True;
mypy;https://github.com/mypy/mypy;True;https://github.com/python/mypy
kombu;https://github.com/kombu/kombu;True;
tensorflow-model-analysis;https://github.com/tensorflow/model-analysis;False;
openpyxl;https://github.com/openpyxl/openpyxl;True;
tensorflow-data-validation;https://github.com/tensorflow/data-validation;False;
thrift;https://github.com/thrift/thrift;True;https://github.com/apache/thrift
mozrunner;https://github.com/mozrunner/mozrunner;True;
ruamel-yaml-clib;https://github.com/ruamel-yaml-clib/ruamel-yaml-clib;True;
apache-beam;https://github.com/apache-beam/apache-beam;True;
sklearn;https://github.com/sklearn/sklearn;True;
unidecode;https://github.com/avian2/unidecode;False;
mozlog;https://github.com/mozlog/mozlog;True;
et-xmlfile;https://github.com/et-xmlfile/et-xmlfile;True;
lockfile;https://github.com/lockfile/lockfile;True;
djangorestframework;https://github.com/encode/django-rest-framework;False;
backports-ssl-match-hostname;https://github.com/backports-ssl-match-hostname/backports-ssl-match-hostname;True;
iso8601;https://github.com/iso8601/iso8601;True;https://github.com/micktwomey/pyiso8601
aliyun-python-sdk-ecs;https://github.com/aliyun-python-sdk-ecs/aliyun-python-sdk-ecs;True;
execnet;https://github.com/python/black;False;
aniso8601;https://github.com/aniso8601/aniso8601;True;
bottle;https://github.com/bottle/bottle;True;https://github.com/bottlepy/bottle
jeepney;https://github.com/jeepney/jeepney;True;
stevedore;https://github.com/stevedore/stevedore;True;
s3cmd;https://github.com/s3cmd/s3cmd;False;
mozdevice;https://github.com/mozdevice/mozdevice;True;
pkginfo;https://github.com/pkginfo/pkginfo;True;
pathlib;https://github.com/pathlib/pathlib;True;
prettytable;https://github.com/prettytable/prettytable;True;https://github.com/jazzband/prettytable
mozprofile;https://github.com/mozprofile/mozprofile;True;
mozinfo;https://github.com/mozinfo/mozinfo;True;
mozprocess;https://github.com/mozprocess/mozprocess;True;
docker-compose;https://github.com/docker/compose;False;
blinker;https://github.com/blinker/blinker;True;https://github.com/jek/blinker
mozterm;https://github.com/mozterm/mozterm;True;
python-daemon;https://github.com/python-daemon/python-daemon;True;
sphinxcontrib-htmlhelp;https://github.com/sphinxcontrib-htmlhelp/sphinxcontrib-htmlhelp;True;
sphinxcontrib-serializinghtml;https://github.com/sphinxcontrib-serializinghtml/sphinxcontrib-serializinghtml;True;
sphinxcontrib-applehelp;https://github.com/sphinxcontrib-applehelp/sphinxcontrib-applehelp;True;
sphinxcontrib-devhelp;https://github.com/sphinxcontrib-devhelp/sphinxcontrib-devhelp;True;
sphinxcontrib-qthelp;https://github.com/sphinxcontrib-qthelp/sphinxcontrib-qthelp;True;
avro;https://github.com/avro/avro;True;
mysql-connector-python;https://github.com/mysql-connector-python/mysql-connector-python;True;
uwsgi;https://github.com/uwsgi/uwsgi;True;https://github.com/unbit/uwsgi-docs
sphinxcontrib-jsmath;https://github.com/sphinxcontrib-jsmath/sphinxcontrib-jsmath;True;
pysftp;https://github.com/pysftp/pysftp;True;
grpcio-tools;https://github.com/grpc/grpc;False;
avro-python3;https://github.com/avro-python3/avro-python3;True;
geographiclib;https://github.com/geographiclib/geographiclib;True;
crcmod;https://github.com/crcmod/crcmod;True;
mozfile;https://github.com/mozfile/mozfile;True;
identify;https://github.com/chriskuehl/identify;False;https://github.com/pre-commit/identify
invoke;https://github.com/invoke/invoke;True;
passlib;https://github.com/passlib/passlib;True;
aenum;https://github.com/aenum/aenum;True;
msgpack-python;https://github.com/msgpack-python/msgpack-python;True;
zeep;https://github.com/zeep/zeep;True;
google;https://github.com/google/google;True;
python-gnupg;https://github.com/python-gnupg/python-gnupg;True;
pygithub;https://github.com/pygithub/pygithub;False;
sphinxcontrib-websupport;https://github.com/sphinxcontrib-websupport/sphinxcontrib-websupport;True;
fabric;https://github.com/fabric/fabric;False;
cx-oracle;https://github.com/cx-oracle/cx-oracle;True;
pycairo;https://github.com/ldo/qahirah;False;https://github.com/pygobject/pycairo
phoenixdb;https://github.com/phoenixdb/phoenixdb;True;
pyxdg;https://github.com/pyxdg/pyxdg;True;https://github.com/takluyver/pyxdg
pypdf2;https://github.com/pypdf2/pypdf2;True;
xlwt;https://github.com/xlwt/xlwt;True;https://github.com/python-excel/xlwt
unittest2;https://github.com/unittest2/unittest2;True;
pygobject;https://github.com/pygobject/pygobject;True;
inflect;https://github.com/jazzband/inflect;False;https://github.com/jaraco/inflect
expiringdict;https://github.com/expiringdict/expiringdict;True;
reportlab;https://github.com/reportlab/reportlab;True;
grpcio-gcp;https://github.com/grpcio-gcp/grpcio-gcp;True;
mmh3;http://github.com/hajimes/mmh3;False;
hypothesis;https://github.com/hypothesisworks/hypothesis;False;https://github.com/HypothesisWorks/hypothesis-python
rx;https://github.com/ReactiveX/RxPY;False;https://github.com/ReactiveX/rxjs
tensorboard-plugin-wit;https://github.com/tensorboard-plugin-wit/tensorboard-plugin-wit;True;
strict-rfc3339;https://github.com/strict-rfc3339/strict-rfc3339;True;
heapdict;https://github.com/heapdict/heapdict;True;https://github.com/DanielStutzbach/heapdict
tensorflow-gpu;https://github.com/tensorflow-gpu/tensorflow-gpu;True;
repoze-lru;https://github.com/repoze-lru/repoze-lru;True;
antlr4-python3-runtime;https://github.com/antlr4-python3-runtime/antlr4-python3-runtime;True;
marshmallow-enum;https://github.com/marshmallow-enum/marshmallow-enum;True;
zict;https://github.com/zict/zict;True;
python-jenkins;https://github.com/python-jenkins/python-jenkins;True;
mysql-connector;https://github.com/mysql-connector/mysql-connector;True;
fbprophet;https://github.com/facebook/prophet;False;
hyperopt;https://github.com/hyperopt/hyperopt;False;
suds-jurko;https://github.com/suds-jurko/suds-jurko;True;
intel-openmp;https://github.com/intel-openmp/intel-openmp;True;
mkl;https://github.com/mkl/mkl;True;
azureml-core;https://github.com/azureml-core/azureml-core;True;
catkin-pkg;https://github.com/catkin-pkg/catkin-pkg;True;
cognite-model-hosting;https://github.com/cognite-model-hosting/cognite-model-hosting;True;
python-crontab;https://github.com/python-crontab/python-crontab;True;
python-augeas;https://github.com/python-augeas/python-augeas;True;
py-bcrypt;https://github.com/py-bcrypt/py-bcrypt;True;
oslo-i18n;https://github.com/oslo-i18n/oslo-i18n;True;
webtest;https://github.com/webtest/webtest;True;
apache-airflow;https://github.com/apache/airflow;False;
debtcollector;https://github.com/debtcollector/debtcollector;True;
pydispatcher;https://github.com/pydispatcher/pydispatcher;True;
mpmath;https://github.com/mpmath/mpmath;True;
anyjson;https://github.com/ask/carrot;False;
pypiwin32;https://github.com/pypiwin32/pypiwin32;True;
rospkg;https://github.com/rospkg/rospkg;True;https://github.com/ros-infrastructure/rospkg
oslo-utils;https://github.com/oslo-utils/oslo-utils;True;
oslo-config;https://github.com/oslo-config/oslo-config;True;
ruamel-ordereddict;https://github.com/ruamel-ordereddict/ruamel-ordereddict;True;
datashape;https://github.com/datashape/datashape;True;
flake8-polyfill;https://github.com/flake8-polyfill/flake8-polyfill;True;
oslo-serialization;https://github.com/oslo-serialization/oslo-serialization;True;
paho-mqtt;https://github.com/eclipse/paho;True;
pyudorandom;https://github.com/pyudorandom/pyudorandom;True;
statistics;https://github.com/digitalemagine/py-statistics;False;
pycalverter;https://github.com/pycalverter/pycalverter;True;
python-swiftclient;https://github.com/openstack/swift;False;
