Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different
urllib3;https://github.com/urllib3/urllib3;False;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;100%;False
six;https://github.com/benjaminp/six;False;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;100%;False
botocore;https://github.com/boto/botocore;False;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;100%;False
requests;https://github.com/psf/requests;False;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;100%;False
python-dateutil;https://github.com/dateutil/dateutil;False;;;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;33%;False
certifi;https://github.com/certifi/python-certifi;False;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;100%;False
s3transfer;https://github.com/boto/s3transfer;False;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;100%;False
idna;https://github.com/kjd/idna;False;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;100%;False
docutils;https://github.com/docutils/docutils;False;;;https://github.com/docutils/docutils;https://github.com/docutils/docutils;33%;False
chardet;https://github.com/chardet/chardet;False;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;100%;False
pip;https://github.com/pypa/pip;False;https://github.com/pypa/pip;https://github.com/pypa/pip;https://github.com/pypa/pip;https://github.com/pypa/pip;100%;False
setuptools;https://github.com/pypa/setuptools;False;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;100%;False
pyyaml;https://github.com/yaml/pyyaml;False;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;100%;False
jmespath;https://github.com/jmespath/jmespath.py;False;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;100%;False
pyasn1;https://github.com/etingof/pyasn1;False;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;100%;False
rsa;https://github.com/sybrenstuvel/python-rsa;False;https://github.com/sybrenstuvel/python-rsa;;https://github.com/sybrenstuvel/python-rsa;https://github.com/sybrenstuvel/python-rsa;66%;False
pytz;https://github.com/stub42/pytz;False;https://github.com/stub42/pytz;https://github.com/stub42/pytz;https://github.com/stub42/pytz;https://github.com/stub42/pytz;100%;False
boto3;https://github.com/boto/boto3;False;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;100%;False
numpy;https://github.com/numpy/numpy;False;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;100%;False
awscli;https://github.com/aws/aws-cli;False;;;https://github.com/aws/aws-cli;https://github.com/aws/aws-cli;33%;False
colorama;https://github.com/tartley/colorama;False;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;100%;False
wheel;https://github.com/pypa/wheel;False;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;100%;False
futures;https://github.com/agronholm/pythonfutures;False;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;100%;False
markupsafe;https://github.com/pallets/markupsafe;False;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;100%;False
protobuf;https://github.com/protocolbuffers/protobuf;False;https://github.com/protocolbuffers/protobuf;;https://github.com/protocolbuffers/protobuf;https://github.com/protocolbuffers/protobuf;66%;False
jinja2;https://github.com/pallets/jinja;False;https://github.com/pallets/jinja;https://github.com/pallets/jinja;https://github.com/pallets/jinja;https://github.com/pallets/jinja;100%;False
simplejson;https://github.com/simplejson/simplejson;False;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;100%;False
cffi;https://github.com/cffi/cffi;False;https://github.com/python-cffi/release-doc;;https://github.com/cffi/cffi;https://github.com/cffi/cffi;33%;False
cryptography;https://github.com/pyca/cryptography;False;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;100%;False
attrs;https://github.com/python-attrs/attrs;False;https://github.com/python-attrs/attrs;https://github.com/sponsors/hynek;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;66%;False
click;https://github.com/pallets/click;False;https://github.com/pallets/click;https://github.com/pallets/click;https://github.com/pallets/click;https://github.com/pallets/click;100%;False
importlib-metadata;https://github.com/importlib-metadata/importlib-metadata;True;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;100%;True
pyasn1-modules;https://github.com/etingof/pyasn1-modules;False;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;100%;False
future;https://github.com/future/future;True;https://github.com/pythoncharmers/python-future;;;https://github.com/pythoncharmers/python-future;33%;True
zipp;https://github.com/jaraco/zipp;False;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;100%;False
pandas;https://github.com/pandas-dev/pandas;False;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;100%;False
pyparsing;https://github.com/pyparsing/pyparsing;False;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;66%;False
cachetools;https://github.com/tkem/cachetools;False;https://github.com/tkem/cachetools;;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;66%;False
