Package name;OSSGadget URL;Final URL;Motivation
cffi;;https://github.com/python-cffi/release-doc;Different
future;;https://github.com/pythoncharmers/python-future;Different
grpcio;https://github.com/grpc/grpc;;Different
pygments;;https://github.com/pygments/pygments;Different
pexpect;;https://github.com/pexpect/pexpect;Different
contextlib2;;https://github.com/jazzband/contextlib2;Different
funcsigs;https://github.com/testing-cabal/funcsigs;;Different
docopt;https://github.com/docopt/docopt;https://github.com/keleshev/schema;Different
requests-toolbelt;https://github.com/requests/toolbelt;https://github.com/psf/requests;Different
notebook;;https://github.com/jupyter/notebook;Different
pyarrow;https://github.com/apache/arrow;;Different
babel;;https://github.com/python-babel/babel;Different
py4j;;https://github.com/bartdag/py4j;Different
dnspython;;https://github.com/rthalley/dnspython;Different
xlrd;;https://github.com/python-excel/xlrd;Different
pycrypto;;https://github.com/pycrypto/pycrypto;Different
grpc-google-iam-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
ruamel-yaml;https://github.com/pypa/setuptools;https://github.com/readthedocs/sphinx_rtd_theme;Different
nltk;;https://github.com/nltk/nltk;Different
mypy;;https://github.com/python/mypy;Different
openpyxl;;https://github.com/readthedocs/sphinx_rtd_theme;Different
thrift;;https://github.com/apache/thrift;Different
ruamel-yaml-clib;;https://github.com/readthedocs/sphinx_rtd_theme;Different
plotly;https://github.com/plotly/orca;https://github.com/plotly/plotly.py;OSSGadget URL FP
unidecode;https://github.com/avian2/unidecode;https://github.com/miurahr/unihandecode;Different
aniso8601;;https://github.com/readthedocs/sphinx_rtd_theme;Different
bottle;;https://github.com/bottlepy/bottle;Different
jeepney;;https://github.com/lew21/pydbus;Different
maxminddb;https://github.com/maxmind/libmaxminddb;https://github.com/maxmind/libmaxminddb;OSSGadget URL FP
blinker;;https://github.com/jek/blinker;Different
geoip2;https://github.com/maxmind/libmaxminddb;https://github.com/maxmind/libmaxminddb;OSSGadget URL FP
uwsgi;;https://github.com/unbit/uwsgi-docs;Different
grpcio-tools;https://github.com/grpc/grpc;;Different
numba;;https://github.com/numba/numba;Different
pika;https://github.com/invl/retry;https://github.com/pika/pika;Equal to second URL
spacy;https://github.com/explosion/spacy;https://github.com/psf/black;Equal to second URL
pygithub;;https://github.com/pygithub/pygithub;Different
pycairo;https://github.com/ldo/qahirah;https://github.com/pygobject/pycairo;Equal to second URL
wasabi;https://github.com/explosion/thinc;https://github.com/ines/wasabi;Equal to second URL
gapic-google-cloud-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
pyxdg;;https://github.com/takluyver/pyxdg;Different
proto-google-cloud-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
xlwt;;https://github.com/python-excel/xlwt;Different
pygobject;;https://github.com/readthedocs/sphinx_rtd_theme;Different
expiringdict;;https://github.com/mailgun/expiringdict;Different
tensorboard-plugin-wit;https://github.com/pair-code/what-if-tool;https://github.com/pair-code/what-if-tool;OSSGadget URL FP maybe
heapdict;;https://github.com/danielstutzbach/heapdict;Different
zict;;https://github.com/dask/zict;Different
geopandas;;https://github.com/geopandas/geopandas;Different
webtest;;https://github.com/pylons/webtest;Different
proto-google-cloud-datastore-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
anyjson;https://github.com/ask/carrot;;Different
msal-extensions;https://github.com/azuread/microsoft-authentication-extensions-for-python;https://github.com/azuread/microsoft-authentication-library-for-python;Different
googledatastore;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore;OSSGadget URL FP maybe
rospkg;;https://github.com/ros-infrastructure/rospkg;Different
datashape;;https://github.com/blaze/datashape;Different
statistics;https://github.com/python/cpython;https://github.com/digitalemagine/py-statistics;Different
scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;https://github.com/conda-forge/scikit-optimize-feedstock;Equal to second URL
milksnake;https://github.com/getsentry/milksnake;;Different
dotnetcore2;https://github.com/dotnet/core;https://github.com/dotnet/core;OSSGadget URL FP
clickclick;;https://github.com/hjacobs/python-clickclick;Different
python-ldap;;https://github.com/python-ldap/python-ldap;Different
gapic-google-cloud-datastore-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
tb-nightly;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;OSSGadget URL FP maybe
snowflake-sqlalchemy;https://github.com/snowflakedb/snowflake-sqlalchemy;;Different
ibm-db-sa;https://github.com/ibmdb/python-ibmdbsa;;Different
clickhouse-cityhash;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash;OSSGadget URL FP maybe
azureml-sdk;https://github.com/azure/machinelearningnotebooks;https://github.com/azure/machinelearningnotebooks;OSSGadget URL FP maybe
pywebhdfs;;https://github.com/pywebhdfs/pywebhdfs;Different
virtualenvwrapper;;https://github.com/readthedocs/sphinx_rtd_theme;Different
mkdocs;;https://github.com/mkdocs/mkdocs;Different
hashids;;https://github.com/davidaurelio/hashids-python;Different
locustio;;https://github.com/locustio/locust;Different
ninja;https://github.com/scikit-build/ninja-python-distributions;https://github.com/ninja-build/ninja;Equal to second URL
cftime;https://github.com/unidata/cftime;https://github.com/unidata/netcdf4-python;Equal to second URL
libsass;https://github.com/sass/libsass;https://github.com/sass/libsass;OSSGadget URL FP
urwid;;https://github.com/urwid/urwid;Different
capstone;;https://github.com/aquynh/capstone;Different
pyusb;;https://github.com/pyusb/pyusb;Different
brunel;https://github.com/brunel-visualization/brunel;https://github.com/brunel-visualization/brunel;OSSGadget URL FP
gapic-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
proto-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
ipyparallel;;https://github.com/ipython/ipyparallel;Different
platformio;https://github.com/platformio/platformio-core;https://github.com/platformio/platformio-examples;Equal to second URL
gevent-websocket;https://github.com/methane/wsaccel;;Different
routes;;https://github.com/bbangert/routes;Different
pylibmc;;https://github.com/lericson/pylibmc;Different
konlpy;;https://github.com/konlpy/konlpy;Different
palettable;;https://github.com/jiffyclub/palettable;Different
django-rest-framework;;https://github.com/encode/django-rest-framework;Different
geoalchemy2;;https://github.com/geoalchemy/geoalchemy2;Different
httpagentparser;;https://github.com/shon/httpagentparser;Different
mando;;https://github.com/rubik/mando;Different
mkdocs-material;https://github.com/squidfunk/mkdocs-material;https://github.com/squidfunk/mkdocs-material;OSSGadget URL FP
hacs-frontend;https://github.com/hacs/frontend;https://github.com/hacs/frontend;OSSGadget URL FP
github3-py;;https://github.com/psf/requests;Different
numpydoc;;https://github.com/numpy/numpydoc;Different
progressbar;;https://github.com/niltonvolpato/python-progressbar;Different
ur-rtde;https://github.com/universalrobots/universal_robots_ros_driver;https://github.com/universalrobots/universal_robots_externalcontrol_urcap;OSSGadget URL FP maybe
chart-studio;https://github.com/plotly/ruby-api;https://github.com/plotly/plotly.py;OSSGadget URL FP
h2o-pysparkling-2-4;https://github.com/h2oai/sparkling-water;https://github.com/h2oai/sparkling-water;OSSGadget URL FP maybe
jupyter-latex-envs;https://github.com/jfbercher/jupyter_latex_envs;https://github.com/jfbercher/jupyter_latex_envs;OSSGadget URL FP maybe
grpc-google-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
grpc-google-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
gax-google-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
gax-google-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
proto-google-cloud-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
gapic-google-cloud-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP
protorpc;;https://github.com/google/protorpc;Different
hacking;https://github.com/pycqa/pycodestyle;;Different
pywinauto;;https://github.com/pywinauto/pywinauto;Different
limits;;https://github.com/alisaifee/limits;Different
htcondor;;https://github.com/htcondor/htcondor;Different
deepmerge;;https://github.com/toumorokoshi/deepmerge;Different
osqp;https://github.com/oxfordcontrol/osqp-python;https://github.com/oxfordcontrol/osqp;Equal to third URL
gsutil;;https://github.com/googlecloudplatform/gsutil;Different
maturin;https://github.com/pyo3/maturin;https://github.com/pyo3/setuptools-rust;Equal to third URL
img2pdf;;https://github.com/josch/img2pdf;Different
sphinx-autobuild;;https://github.com/executablebooks/sphinx-autobuild;Different
tlslite;https://github.com/moxie0/convergence;;OSSGadget URL FP maybe
pytest-pep8;https://github.com/pycqa/pycodestyle;;Different
scs;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs;OSSGadget URL FP
ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;OSSGadget URL FP
createsend;;https://github.com/campaignmonitor/createsend-python;Different
django-haystack;;https://github.com/django-haystack/django-haystack;Different
rpy2;;https://github.com/rpy2/rpy2;Different
fastcluster;https://github.com/dmuellner/fastcluster;https://github.com/cran/fastcluster;Different
nimbusml;https://github.com/microsoft/nimbusml;https://github.com/dotnet/machinelearning;Different
python-heatclient;;https://github.com/openstack/python-heatclient;Different
peakutils;;https://github.com/irskep/sphinx-better-theme;Different
construct;;https://github.com/construct/construct;Different
asyncssh;https://github.com/ronf/asyncssh;https://github.com/jedisct1/libsodium;Equal to second URL
twitter-common-lang;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;OSSGadget URL FP maybe
twitter-common-dirutil;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;OSSGadget URL FP maybe
twitter-common-options;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;OSSGadget URL FP maybe
twitter-common-log;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;OSSGadget URL FP maybe
flask-debugtoolbar;https://github.com/jazzband/django-debug-toolbar;https://github.com/flask-debugtoolbar/flask-debugtoolbar;Equal to second URL
