Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position;Final URL;Occ. final URL;Second URL;Occ. second URL;Third URL;Occ. third URL;URLs similarity;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Final URL position;Real URL;Confidence;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Real URL position
urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;;0/7;Equal;8/1442;True;99.8%;Shell (0.2%);TP;https://github.com/urllib3/urllib3;5;;0;;0;Equal;;;;;;;;https://github.com/urllib3/urllib3;63%;0/7;Equal;8/1442;True;99.8%;Shell (0.2%);TP
six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;0/3;Equal;0/601;True;100.0%;;TP;https://github.com/benjaminp/six;7;;0;;0;Equal;;;;;;;;https://github.com/benjaminp/six;100%;0/3;Equal;0/601;True;100.0%;;TP
botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;;https://github.com/boto/botocore;0/8;Equal;10/1456;False;99.2%;Gherkin (0.8%);TP(?);https://github.com/boto/botocore;6;;0;;0;Equal;;;;;;;;https://github.com/boto/botocore;91%;0/8;Equal;10/1456;False;99.2%;Gherkin (0.8%);TP(?)
requests;https://github.com/psf/requests;;;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;0/8;Equal;2/1459;True;99.7%;Makefile (0.3%);TP;https://github.com/psf/requests;5;;0;;0;Equal;;;;;;;;https://github.com/psf/requests;65%;0/8;Equal;2/1459;True;99.7%;Makefile (0.3%);TP
python-dateutil;https://github.com/dateutil/dateutil;;;;;;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;7/15;Substring;5/1450;True;99.6%;Other (0.4%);TP;https://github.com/dateutil/dateutil;2;;0;;0;Equal;;;;;;;;https://github.com/dateutil/dateutil;26%;7/15;Substring;5/1450;True;99.6%;Other (0.4%);TP
certifi;https://github.com/certifi/python-certifi;;;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;;;7/14;Substring;63/1462;False;97.0%;Makefile (3.0%);TP(?);https://github.com/certifi/python-certifi;3;;0;;0;Equal;;;;;;;;https://github.com/certifi/python-certifi;39%;7/14;Substring;63/1462;False;97.0%;Makefile (3.0%);TP(?)
s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;;;0/10;Equal;53/382;False;100.0%;;TP(?);https://github.com/boto/s3transfer;5;;0;;0;Equal;;;;;;;;https://github.com/boto/s3transfer;74%;0/10;Equal;53/382;False;100.0%;;TP(?)
idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;;;0/4;Equal;102/1460;True;100.0%;;TP;https://github.com/kjd/idna;5;;0;;0;Equal;;;;;;;;https://github.com/kjd/idna;74%;0/4;Equal;102/1460;True;100.0%;;TP
docutils;;;;;;;;;;;;;;;;;0;;0;;0;Equal;;;;;;;;;100%;;;;;;;
chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;0/7;Equal;208/1360;True;98.7%;HTML (1.3%);TP;https://github.com/chardet/chardet;7;;0;;0;Equal;;;;;;;;https://github.com/chardet/chardet;100%;0/7;Equal;208/1360;True;98.7%;HTML (1.3%);TP
