Package name;OSSGadget PyPI URL;OSSGadget GitHub URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL
urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;
six;https://github.com/benjaminp/six;;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six
botocore;https://github.com/boto/botocore;;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;;https://github.com/boto/botocore
requests;https://github.com/psf/requests;https://github.com/psf/requests;;;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests
python-dateutil;https://github.com/dateutil/dateutil;;;;;;;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil
certifi;https://github.com/certifi/python-certifi;;;;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;;
s3transfer;https://github.com/boto/s3transfer;;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;;
idna;https://github.com/kjd/idna;;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;;
docutils;;https://github.com/docutils/docutils;;;;;;;
chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet
pip;https://github.com/pypa/pip;;;https://github.com/pypa/pip;https://github.com/pypa/pip;https://github.com/pypa/pip;https://github.com/pypa/pip;;
setuptools;https://github.com/pypa/setuptools;;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;;https://github.com/pypa/setuptools
pyyaml;https://github.com/yaml/pyyaml;;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;;
jmespath;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;;;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;;https://github.com/jmespath/jmespath.py
pyasn1;https://github.com/etingof/pyasn1;;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;;
rsa;https://github.com/sybrenstuvel/python-rsa;;;;https://github.com/sybrenstuvel/python-rsa;;;;https://github.com/sybrenstuvel/python-rsa
pytz;https://github.com/stub42/pytz;;;https://github.com/stub42/pytz;https://github.com/stub42/pytz;https://github.com/stub42/pytz;;;
boto3;https://github.com/boto/boto3;;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;;https://github.com/boto/boto3
numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;;
awscli;https://github.com/aws/aws-cli;;;;;;;;https://github.com/aws/aws-cli
colorama;https://github.com/tartley/colorama;;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;;https://github.com/tartley/colorama
wheel;https://github.com/pypa/wheel;;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;
futures;https://github.com/agronholm/pythonfutures;;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;;https://github.com/agronholm/pythonfutures
markupsafe;https://github.com/pallets/markupsafe;;https://github.com/pallets/markupsafe;;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;;
protobuf;https://github.com/protocolbuffers/protobuf;;;https://github.com/protocolbuffers/protobuf;https://github.com/protocolbuffers/protobuf;;https://github.com/protocolbuffers/protobuf;;
jinja2;https://github.com/pallets/jinja;;https://github.com/pallets/jinja;;;https://github.com/pallets/jinja;https://github.com/pallets/jinja;;
simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson
cffi;;https://github.com/cffi/cffi;;https://github.com/python-cffi/release-doc;;;;;
cryptography;https://github.com/pyca/cryptography;;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;;https://github.com/pyca/cryptography
attrs;https://github.com/python-attrs/attrs;;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/sponsors/hynek;https://github.com/hynek/characteristic;https://github.com/python-attrs/attrs
click;https://github.com/pallets/click;;https://github.com/pallets/click;;https://github.com/pallets/click;https://github.com/pallets/click;https://github.com/pallets/click;;
importlib-metadata;https://github.com/python/importlib_metadata;;https://github.com/python/importlib_metadata;;;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata
pyasn1-modules;https://github.com/etingof/pyasn1-modules;;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;;
future;;;;https://github.com/pythoncharmers/python-future;;;;;
zipp;https://github.com/jaraco/zipp;;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;;https://github.com/jaraco/zipp
pandas;https://github.com/pandas-dev/pandas;;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;https://github.com/pandas-dev/pandas;;
pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing;;https://github.com/pyparsing/pyparsing
cachetools;https://github.com/tkem/cachetools;;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools;https://github.com/tkem/cachetools
pycparser;https://github.com/eliben/pycparser;;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;https://github.com/eliben/pycparser;;
oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;;;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib;https://github.com/oauthlib/oauthlib
google-auth;https://github.com/googleapis/google-auth-library-python;;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;https://github.com/googleapis/google-auth-library-python;;
requests-oauthlib;https://github.com/requests/requests-oauthlib;;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;https://github.com/requests/requests-oauthlib;
werkzeug;https://github.com/pallets/werkzeug;;https://github.com/pallets/werkzeug;;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/pallets/werkzeug;https://github.com/grahamdumpleton/wsgiorg;
decorator;https://github.com/micheles/decorator;;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;https://github.com/micheles/decorator;;
scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;;https://github.com/scipy/scipy;https://github.com/scipy/scipy;https://github.com/scipy/scipy;;
packaging;https://github.com/pypa/packaging;;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;;
google-api-core;https://github.com/googleapis/python-api-core;;https://github.com/googleapis/python-api-core;;;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;;
wcwidth;https://github.com/jquast/wcwidth;;https://github.com/jquast/wcwidth;;;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;;
more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;
grpcio;https://github.com/grpc/grpc;;;;;;;;
googleapis-common-protos;https://github.com/googleapis/python-api-common-protos;;https://github.com/googleapis/python-api-common-protos;;;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;;
pytest;https://github.com/pytest-dev/pytest;;;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest
jsonschema;https://github.com/julian/jsonschema;;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;
enum34;;;;;;;;;
google-cloud-core;https://github.com/googleapis/python-cloud-core;;https://github.com/googleapis/python-cloud-core;;;https://github.com/googleapis/python-cloud-core;https://github.com/googleapis/python-cloud-core;;
py;https://github.com/pytest-dev/py;;;https://github.com/pytest-dev/py;;https://github.com/pytest-dev/py;;https://github.com/pytest-dev/py;https://github.com/pytest-dev/py
pluggy;https://github.com/pytest-dev/pluggy;;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy;https://github.com/pytest-dev/pluggy
pygments;;https://github.com/pygments/pygments;;https://github.com/pygments/pygments;;;;;
psutil;https://github.com/giampaolo/psutil;;https://github.com/giampaolo/psutil;;;https://github.com/giampaolo/psutil;https://github.com/giampaolo/psutil;https://github.com/giampaolo/psutil;https://github.com/giampaolo/psutil
flask;https://github.com/pallets/flask;;https://github.com/pallets/flask;;https://github.com/pallets/flask;https://github.com/pallets/flask;https://github.com/pallets/flask;https://github.com/grahamdumpleton/wsgiorg;
pyjwt;https://github.com/jpadilla/pyjwt;;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt;https://github.com/jpadilla/pyjwt
coverage;https://github.com/nedbat/coveragepy;;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy
scikit-learn;https://github.com/scikit-learn/scikit-learn;https://github.com/scikit-learn/scikit-learn;https://github.com/scikit-learn/scikit-learn;;https://github.com/scikit-learn/scikit-learn;https://github.com/scikit-learn/scikit-learn;https://github.com/scikit-learn/scikit-learn;;https://github.com/scikit-learn/scikit-learn
pyrsistent;https://github.com/tobgu/pyrsistent;;https://github.com/tobgu/pyrsistent;https://github.com/tobgu/pyrsistent;https://github.com/tobgu/pyrsistent;;https://github.com/tobgu/pyrsistent;https://github.com/tox-dev/tox;https://github.com/tobgu/pyrsistent
itsdangerous;https://github.com/pallets/itsdangerous;;https://github.com/pallets/itsdangerous;;https://github.com/pallets/itsdangerous;https://github.com/pallets/itsdangerous;https://github.com/pallets/itsdangerous;;
wrapt;https://github.com/grahamdumpleton/wrapt;;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;;https://github.com/grahamdumpleton/wrapt
pillow;https://github.com/python-pillow/pillow;;;;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow
google-cloud-storage;https://github.com/googleapis/python-storage;;https://github.com/googleapis/python-storage;;;https://github.com/googleapis/python-storage;https://github.com/googleapis/python-storage;;https://github.com/googleapis/google-cloud-python
