Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Final URL;Real URL
python-dateutil;https://github.com/dateutil/dateutil;;;;;;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil
docutils;;;;;;;;;;
awscli;https://github.com/aws/aws-cli;;;;;;;https://github.com/aws/aws-cli;https://github.com/aws/aws-cli;https://github.com/aws/aws-cli
cffi;;;https://github.com/python-cffi/release-doc;;;;;;https://github.com/python-cffi/release-doc;
future;;;https://github.com/pythoncharmers/python-future;;;;;;https://github.com/pythoncharmers/python-future;https://github.com/pythoncharmers/python-future
grpcio;https://github.com/grpc/grpc;;;;;;;;;https://github.com/grpc/grpc
pygments;;;https://github.com/pygments/pygments;;;;;;https://github.com/pygments/pygments;https://github.com/pygments/pygments
pexpect;;;;;;;https://github.com/pexpect/pexpect;;https://github.com/pexpect/pexpect;https://github.com/pexpect/pexpect
tensorflow-estimator;https://github.com/tensorflow/estimator;;;;;https://github.com/tensorflow/estimator;;;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator
h5py;;;;;;;;;;https://github.com/h5py/h5py
contextlib2;;;https://github.com/jazzband/contextlib2;;;;;https://github.com/jazzband/contextlib2;https://github.com/jazzband/contextlib2;https://github.com/jazzband/contextlib2
funcsigs;https://github.com/testing-cabal/funcsigs;;;;;;;;;https://github.com/testing-cabal/funcsigs
docopt;https://github.com/docopt/docopt;;;;https://github.com/keleshev/schema;;;;https://github.com/keleshev/schema;https://github.com/docopt/docopt
jupyter-client;https://github.com/jupyter/jupyter_client;;;;;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client
requests-toolbelt;https://github.com/requests/toolbelt;;;;https://github.com/psf/requests;;;;https://github.com/psf/requests;https://github.com/requests/toolbelt
notebook;;;;;;;https://github.com/jupyter/notebook;;https://github.com/jupyter/notebook;https://github.com/jupyter/notebook
pyarrow;https://github.com/apache/arrow;;;;;;;;;https://github.com/apache/arrow
babel;;;https://github.com/python-babel/babel;;;;;;https://github.com/python-babel/babel;https://github.com/python-babel/babel
typing-extensions;https://github.com/python/typing;;;;;https://github.com/python/typing;;;https://github.com/python/typing;https://github.com/python/typing
py4j;;;https://github.com/bartdag/py4j;;;;;;https://github.com/bartdag/py4j;https://github.com/bartdag/py4j
dnspython;;;https://github.com/rthalley/dnspython;;;;;;https://github.com/rthalley/dnspython;https://github.com/rthalley/dnspython
jupyter;;;;;;;;;;https://github.com/jupyter/jupyter
xlrd;;;https://github.com/python-excel/xlrd;;;;https://github.com/python-excel/xlrd;;https://github.com/python-excel/xlrd;https://github.com/python-excel/xlrd
pycrypto;;;https://github.com/pycrypto/pycrypto;;;;;;https://github.com/pycrypto/pycrypto;https://github.com/pycrypto/pycrypto
cython;;;;;;;;;;https://github.com/cython/cython
alembic;;;;;;;;;;
grpc-google-iam-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
