Package name;Badge URL;Homepage URL;Metadata URL;Readthedocs URL;Statistics URL;OSSGadget URL;Mode URL;Final URL;Real URL;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Real URL Score
python-dateutil;https://github.com/dateutil/dateutil;;;https://github.com/dateutil/dateutil;;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;1;1;1;1;4
docutils;;;;;;;;;;0;0;0;0;0
awscli;https://github.com/aws/aws-cli;;;;;https://github.com/aws/aws-cli;https://github.com/aws/aws-cli;https://github.com/aws/aws-cli;https://github.com/aws/aws-cli;1;1;0;1;3
cffi;;https://github.com/python-cffi/release-doc;;;;;https://github.com/python-cffi/release-doc;https://github.com/python-cffi/release-doc;;0;0;0;0;0
future;;https://github.com/pythoncharmers/python-future;;;;;https://github.com/pythoncharmers/python-future;https://github.com/pythoncharmers/python-future;https://github.com/pythoncharmers/python-future;1;-1;0;1;1
grpcio;;;;;;https://github.com/grpc/grpc;;https://github.com/grpc/grpc;https://github.com/grpc/grpc;1;-1;0;1;1
pygments;;https://github.com/pygments/pygments;;;;;https://github.com/pygments/pygments;https://github.com/pygments/pygments;https://github.com/pygments/pygments;1;-1;0;1;1
pexpect;;;;https://github.com/pexpect/pexpect;;;https://github.com/pexpect/pexpect;https://github.com/pexpect/pexpect;https://github.com/pexpect/pexpect;1;1;0;1;3
tensorflow-estimator;;;;;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator;1;-1;0;1;1
h5py;;;;;;;;;https://github.com/h5py/h5py;1;-1;0;1;1
contextlib2;https://github.com/jazzband/contextlib2;https://github.com/jazzband/contextlib2;;;;;https://github.com/jazzband/contextlib2;https://github.com/jazzband/contextlib2;https://github.com/jazzband/contextlib2;1;1;0;1;3
funcsigs;;;;;;https://github.com/testing-cabal/funcsigs;;https://github.com/testing-cabal/funcsigs;https://github.com/testing-cabal/funcsigs;1;-1;0;1;1
docopt;;;;;;https://github.com/docopt/docopt;;https://github.com/docopt/docopt;https://github.com/docopt/docopt;1;1;1;1;4
jupyter-client;https://github.com/jupyter/jupyter_client;;;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;https://github.com/jupyter/jupyter_client;1;1;0;1;3
requests-toolbelt;;;;;;https://github.com/requests/toolbelt;;https://github.com/requests/toolbelt;https://github.com/requests/toolbelt;1;1;0;1;3
notebook;;;;https://github.com/jupyter/notebook;;;https://github.com/jupyter/notebook;https://github.com/jupyter/notebook;https://github.com/jupyter/notebook;1;-1;0;1;1
