Package name;OSSGadget URL;Final URL;Motivation;Real URL
pygments;;https://github.com/pygments/pygments;Different;https://github.com/pygments/pygments
notebook;;https://github.com/jupyter/notebook;Different;https://github.com/jupyter/notebook
pycrypto;;https://github.com/pycrypto/pycrypto;Different;https://github.com/pycrypto/pycrypto
grpc-google-iam-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP;https://github.com/googleapis/googleapis
nltk;;https://github.com/nltk/nltk;Different;https://github.com/nltk/nltk
openpyxl;;https://github.com/readthedocs/sphinx_rtd_theme;Different;
ruamel-yaml-clib;;https://github.com/readthedocs/sphinx_rtd_theme;Different;
plotly;https://github.com/plotly/orca;https://github.com/plotly/plotly.py;OSSGadget URL FP;https://github.com/plotly/plotly.py
aniso8601;;https://github.com/readthedocs/sphinx_rtd_theme;Different;
jeepney;;https://github.com/lew21/pydbus;Different;
maxminddb;https://github.com/maxmind/libmaxminddb;https://github.com/maxmind/libmaxminddb;OSSGadget URL FP;https://github.com/maxmind/maxmind-db-reader-python
geoip2;https://github.com/maxmind/libmaxminddb;https://github.com/maxmind/libmaxminddb;OSSGadget URL FP;https://github.com/maxmind/geoip2-python
numba;;https://github.com/numba/numba;Different;https://github.com/numba/numba
pika;https://github.com/invl/retry;https://github.com/pika/pika;Equal to second URL;https://github.com/pika/pika
pycairo;https://github.com/ldo/qahirah;https://github.com/pygobject/pycairo;Equal to second URL;https://github.com/pygobject/pycairo
wasabi;https://github.com/explosion/thinc;https://github.com/ines/wasabi;Equal to second URL;https://github.com/ines/wasabi
gapic-google-cloud-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP;https://github.com/googleapis/googleapis
proto-google-cloud-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;OSSGadget URL FP;https://github.com/googleapis/googleapis
pygobject;;https://github.com/readthedocs/sphinx_rtd_theme;Different;https://github.com/gnome/pygobject 
expiringdict;;https://github.com/mailgun/expiringdict;Different;https://github.com/mailgun/expiringdict
tensorboard-plugin-wit;https://github.com/pair-code/what-if-tool;https://github.com/pair-code/what-if-tool;OSSGadget URL FP maybe;https://github.com/pair-code/what-if-tool
zict;;https://github.com/dask/zict;Different;https://github.com/dask/zict
geopandas;;https://github.com/geopandas/geopandas;Different;https://github.com/geopandas/geopandas
