Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different;Names Lev. dist.;Names Similarity;Statistics;Descr. Lev. dist.;Readthedocs;GitHub badge;PyPI badge;Python lang. perc.;Other languages
urllib3;https://github.com/urllib3/urllib3;False;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;https://github.com/urllib3/urllib3;100%;False;0/7;Equal;True;8/1442;True;False;True;99.8%;Shell (0.2%)
six;https://github.com/benjaminp/six;False;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;https://github.com/benjaminp/six;100%;False;0/3;Equal;True;0/601;True;True;True;100.0%;
botocore;https://github.com/boto/botocore;False;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;https://github.com/boto/botocore;100%;False;0/8;Equal;True;10/1456;False;True;False;99.2%;Gherkin (0.8%)
requests;https://github.com/psf/requests;False;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;https://github.com/psf/requests;100%;False;0/8;Equal;True;2/1459;True;True;True;99.7%;Makefile (0.3%)
python-dateutil;https://github.com/dateutil/dateutil;False;;;https://github.com/dateutil/dateutil;https://github.com/dateutil/dateutil;33%;False;7/15;Substring;False;5/1450;https://github.com/readthedocs/sphinx_rtd_theme;True;True;99.6%;Other (0.4%)
certifi;https://github.com/certifi/python-certifi;False;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;100%;False;7/14;Substring;True;63/1462;https://github.com/psf/requests;False;False;97.0%;Makefile (3.0%)
s3transfer;https://github.com/boto/s3transfer;False;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;https://github.com/boto/s3transfer;100%;False;0/10;Equal;True;53/382;False;False;False;100.0%;
idna;https://github.com/kjd/idna;False;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;https://github.com/kjd/idna;100%;False;0/4;Equal;True;102/1460;False;False;True;100.0%;
docutils;https://github.com/docutils/docutils;False;;;https://github.com/docutils/docutils;;33%;False;8/8;Different;False;223/223;False;False;False;0%;
chardet;https://github.com/chardet/chardet;False;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;https://github.com/chardet/chardet;100%;False;0/7;Equal;True;208/1360;https://github.com/readthedocs/sphinx_rtd_theme;True;True;98.7%;HTML (1.3%)
pip;https://github.com/pypa/pip;False;https://github.com/pypa/pip;https://github.com/pypa/pip;https://github.com/pypa/pip;https://github.com/pypa/pip;100%;False;0/3;Equal;True;37/1228;False;False;True;100.0%;
setuptools;https://github.com/pypa/setuptools;False;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;https://github.com/pypa/setuptools;100%;False;0/10;Equal;True;2/848;https://github.com/bitprophet/alabaster;True;True;99.5%;Other (0.5%)
pyyaml;https://github.com/yaml/pyyaml;False;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;https://github.com/yaml/pyyaml;100%;False;0/6;Equal;True;1149/1458;False;False;False;98.4%;Other (1.6%)
jmespath;https://github.com/jmespath/jmespath.py;False;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;https://github.com/jmespath/jmespath.py;100%;False;3/11;Substring;True;19/1451;False;True;False;100.0%;
pyasn1;https://github.com/etingof/pyasn1;False;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;https://github.com/etingof/pyasn1;100%;False;0/6;Equal;True;1396/1461;False;False;True;100.0%;
rsa;https://github.com/sybrenstuvel/python-rsa;False;https://github.com/sybrenstuvel/python-rsa;;https://github.com/sybrenstuvel/python-rsa;https://github.com/sybrenstuvel/python-rsa;66%;False;7/10;Substring;False;1198/1481;False;False;True;98.7%;Shell (1.3%)
pytz;https://github.com/stub42/pytz;False;https://github.com/stub42/pytz;https://github.com/stub42/pytz;https://github.com/stub42/pytz;https://github.com/stub42/pytz;100%;False;0/4;Equal;False;1012/1453;False;False;False;16.3%;C (33.3%) - HTML (25.0%) - Roff (11.7%) - Makefile (7.3%) - Awk (3.9%) - Other (2.5%)
boto3;https://github.com/boto/boto3;False;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;https://github.com/boto/boto3;100%;False;0/5;Equal;True;55/1458;False;True;True;100.0%;
numpy;https://github.com/numpy/numpy;False;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;https://github.com/numpy/numpy;100%;False;0/5;Equal;True;904/1255;False;False;False;63.0%;C (35.7%) - C++ (1.0%) - JavaScript (0.1%) - Fortran (0.1%) - Shell (0.1%)
awscli;https://github.com/aws/aws-cli;False;;;https://github.com/aws/aws-cli;https://github.com/aws/aws-cli;33%;False;1/7;Different;False;14/1451;False;True;False;100.0%;
colorama;https://github.com/tartley/colorama;False;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;https://github.com/tartley/colorama;100%;False;0/8;Equal;True;226/1462;False;True;True;90.9%;PowerShell (3.5%) - Makefile (3.0%) - Shell (2.6%)
wheel;https://github.com/pypa/wheel;False;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;https://github.com/pypa/wheel;100%;False;0/5;Equal;True;6/611;True;False;False;100.0%;
futures;https://github.com/agronholm/pythonfutures;False;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;https://github.com/agronholm/pythonfutures;100%;False;6/13;Substring;True;0/750;False;True;False;100.0%;
markupsafe;https://github.com/pallets/markupsafe;False;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;https://github.com/pallets/markupsafe;100%;False;0/10;Equal;True;137/1456;False;False;False;75.3%;C (24.7%)
protobuf;https://github.com/protocolbuffers/protobuf;False;https://github.com/protocolbuffers/protobuf;;https://github.com/protocolbuffers/protobuf;https://github.com/protocolbuffers/protobuf;66%;False;0/8;Equal;True;1422/1474;False;False;False;5.0%;C++ (30.7%) - C# (19.7%) - Java (17.7%) - Objective-C (9.7%) - JavaScript (6.2%) - Other (11.0%)
