Package name;Clone dir;Commit vulns;Commit avg time interval;PR vulns;PR avg time interval;Total vulns;Total avg time interval
aiohttp;aiohttp;1;0;;;1;0
aiohttp-session;aiohttp_session;2;0;;;2;0
aioxmpp;aioxmpp;1;455;;;1;455
ansible;ansible;8;69;12;71;20;70
ansible-runner;ansible-runner;1;1;;;1;1
apache-airflow;airflow;1;184;2;52;3;96
asyncpg;asyncpg;1;0;;;1;0
autobahn;autobahn-python;1;14;;;1;14
awscli;aws-cli;1;0;;;1;0
beaker;beaker;1;6;;;1;6
bleach;bleach;2;0;1;0;3;0
boto3;boto3;1;124;;;1;124
bson;bson;1;128;;;1;128
cairosvg;cairosvg;1;0;;;1;0
certifi;python-certifi;1;0;;;1;0
channels;channels;1;6;;;1;6
cherrypy;cherrypy;1;17;;;1;17
codecov;codecov-python;2;2;;;2;2
colander;colander;1;0;;;1;0
cryptography;cryptography;2;32;;;2;32
django;django;14;56;;;14;56
django-anymail;django-anymail;2;0;;;2;0
django-cacheops;django-cacheops;1;15;;;1;15
django-hashid-field;django-hashid-field;1;0;;;1;0
django-haystack;django-haystack;1;604;;;1;604
django-js-reverse;django-js-reverse;1;0;;;1;0
djangorestframework;django-rest-framework;1;0;;;1;0
django-revproxy;django-revproxy;1;77;;;1;77
django-select2;django-select2;1;0;;;1;0
django-storages;django-storages;1;1;;;1;1
django-tastypie;django-tastypie;1;41;;;1;41
django-two-factor-auth;django-two-factor-auth;1;0;;;1;0
django-user-sessions;django-user-sessions;1;0;;;1;0
djoser;djoser;2;8;;;2;8
ecdsa;python-ecdsa;;;1;39;1;39
elastic-apm;apm-agent-python;1;0;;;1;0
facebook-sdk;facebook-sdk;1;11;;;1;11
fastapi;fastapi;;;1;0;1;0
flask;flask;1;8;1;16;2;12
flask-admin;flask-admin;3;176;;;3;176
flask-cors;flask-cors;;;1;0;1;0
flower;flower;1;159;;;1;159
gdal;gdal;1;268;1;86;2;177
graphite-web;graphite-web;1;0;;;1;0
gunicorn;gunicorn;1;3;;;1;3
homeassistant;core;1;0;;;1;0
httpie;httpie;1;62;;;1;62
httplib2;httplib2;1;0;;;1;0
imageio;imageio;1;0;;;1;0
ipython;ipython;1;6;;;1;6
jinja2;jinja;3;0;;;3;0
jwcrypto;jwcrypto;1;88;;;1;88
knack;knack;;;1;0;1;0
luigi;luigi;2;0;;;2;0
lxml;lxml;1;0;;;1;0
markdown2;python-markdown2;1;0;1;0;2;0
marshmallow;marshmallow;1;1;;;1;1
mistune;mistune;1;0;;;1;0
mitmproxy;mitmproxy;1;333;1;514;2;423
nltk;nltk;1;0;;;1;0
notebook;notebook;4;140;1;52;5;122
numpy;numpy;2;20;;;2;20
oauth2;python-oauth2;;;1;5;1;5
oic;pyoidc;1;73;;;1;73
paramiko;paramiko;2;0;;;2;0
pdoc3;pdoc;1;0;;;1;0
peewee;peewee;1;0;;;1;0
pillow;Pillow;8;0;2;0;10;0
pip;pip;1;41;;;1;41
platformio;platformio-core;1;13;;;1;13
pyarrow;arrow;;;1;14;1;14
pyinstaller;pyinstaller;1;4;;;1;4
pykmip;PyKMIP;1;23;;;1;23
pylint;pylint;;;1;45;1;45
pypiserver;pypiserver;1;2;;;1;2
pyramid;pyramid;2;47;1;55;3;49
pysaml2;pysaml2;2;4;;;2;4
pyspark;spark;1;3;;;1;3
python-keystoneclient;python-keystoneclient;2;4;;;2;4
pytorch-lightning;pytorch-lightning;;;1;19;1;19
pyyaml;pyyaml;2;153;;;2;153
recurly;recurly-client-python;1;0;;;1;0
requests;requests;5;44;;;5;44
requests-kerberos;requests-kerberos;1;0;;;1;0
rope;rope;;;1;0;1;0
rply;rply;1;0;;;1;0
rsa;python-rsa;3;39;;;3;39
rtslib-fb;rtslib-fb;;;1;26;1;26
salt;salt;2;4;2;14;4;9
scapy;scapy;2;243;;;2;243
sceptre;sceptre;1;115;;;1;115
scrapy;scrapy;1;85;;;1;85
splunk-sdk;splunk-sdk-python;1;283;;;1;283
sqlalchemy;sqlalchemy;1;26;;;1;26
starlette;starlette;;;1;1;1;1
svglib;svglib;1;0;;;1;0
tensorflow;tensorflow;23;38;;;23;38
thrift;thrift;2;254;;;2;254
tornado;tornado;;;1;21;1;21
tqdm;tqdm;1;1;;;1;1
twilio;twilio-python;1;1;;;1;1
twine;twine;1;149;;;1;149
twisted;twisted;3;75;2;21;5;53
ua-parser;uap-python;1;51;;;1;51
urllib3;urllib3;3;22;1;65;4;32
wagtail;wagtail;1;7;;;1;7
waitress;waitress;8;11;;;8;11
webargs;webargs;1;0;;;1;0
webob;webob;1;25;;;1;25
websocket-client;websocket-client;1;36;;;1;36
websockets;websockets;1;2;;;1;2
werkzeug;werkzeug;4;37;2;141;6;71
