Package name;Clone dir;Tot vulns;Commit vulns;PR vulns;Tot Severity L;Tot Severity M;Tot Severity H;Median Severity;Tot Major v.;Tot Minor v.;Tot Patch v.;Median release type;Commit time interval;PR time interval;Avg time interval
aiohttp;aiohttp;1;1;;0;1;0;M;0;0;1;patch;0;;0
aiohttp-session;aiohttp_session;2;2;;0;2;0;M;0;2;0;minor;0;;0
aioxmpp;aioxmpp;1;1;;0;0;1;H;0;1;0;minor;455;;455
ansible;ansible;20;8;12;3;10;7;M;0;16;4;minor;124;147;137
ansible-runner;ansible-runner;1;1;;1;0;0;L;0;0;1;patch;1;;1
apache-airflow;airflow;3;1;2;0;1;2;H;0;1;2;patch;257;81;139
asyncpg;asyncpg;1;1;;1;0;0;L;0;1;0;minor;0;;0
autobahn;autobahn-python;1;1;;1;0;0;L;0;0;1;patch;14;;14
awscli;aws-cli;1;1;;0;1;0;M;0;0;1;patch;0;;0
beaker;beaker;1;1;;0;1;0;M;0;0;1;patch;6;;6
bleach;bleach;3;2;1;0;2;1;M;0;0;3;patch;0;0;0
boto3;boto3;1;1;;1;0;0;L;0;0;1;patch;124;;124
bson;bson;1;1;;0;1;0;M;0;0;1;patch;128;;128
cairosvg;cairosvg;1;1;;0;0;1;H;0;0;1;patch;0;;0
certifi;python-certifi;1;1;;0;1;0;M;0;0;1;patch;0;;0
channels;channels;1;1;;0;1;0;M;0;0;1;patch;6;;6
cherrypy;cherrypy;1;1;;0;0;1;H;0;1;0;minor;83;;83
codecov;codecov-python;2;2;;0;2;0;M;0;0;2;patch;2;;2
colander;colander;1;1;;0;1;0;M;0;1;0;minor;0;;0
cryptography;cryptography;2;2;;0;1;1;M;0;0;2;patch;53;;53
django;django;14;14;;3;9;2;M;0;0;14;patch;128;;128
django-anymail;django-anymail;2;2;;0;0;2;H;0;0;2;patch;233;;233
django-cacheops;django-cacheops;1;1;;1;0;0;L;0;0;1;patch;15;;15
django-hashid-field;django-hashid-field;1;1;;0;1;0;M;0;0;1;patch;0;;0
django-haystack;django-haystack;1;1;;0;1;0;M;0;1;0;minor;769;;769
django-js-reverse;django-js-reverse;1;1;;0;0;1;H;0;0;1;patch;0;;0
djangorestframework;django-rest-framework;1;1;;0;1;0;M;0;0;1;patch;0;;0
django-revproxy;django-revproxy;1;1;;0;1;0;M;0;0;1;patch;77;;77
django-select2;django-select2;1;1;;0;1;0;M;0;1;0;minor;0;;0
django-storages;django-storages;1;1;;0;1;0;M;0;0;1;patch;4;;4
django-tastypie;django-tastypie;1;1;;0;0;1;H;0;0;1;patch;41;;41
django-two-factor-auth;django-two-factor-auth;1;1;;0;1;0;M;0;0;1;patch;0;;0
django-user-sessions;django-user-sessions;1;1;;0;1;0;M;0;0;1;patch;0;;0
djoser;djoser;2;2;;0;1;1;M;0;0;2;patch;8;;8
ecdsa;python-ecdsa;1;;1;1;0;0;L;0;0;1;patch;;39;39
elastic-apm;apm-agent-python;1;1;;0;0;1;H;0;1;0;minor;0;;0
facebook-sdk;facebook-sdk;1;1;;0;0;1;H;0;0;1;patch;11;;11
fastapi;fastapi;1;;1;0;1;0;M;0;1;0;minor;;0;0
flask;flask;2;1;1;1;0;1;L;0;0;2;patch;8;19;13
flask-admin;flask-admin;3;3;;0;3;0;M;0;1;2;patch;176;;176
flask-cors;flask-cors;1;;1;0;0;1;H;0;0;1;patch;;0;0
flower;flower;1;1;;0;1;0;M;0;0;1;patch;159;;159
gdal;gdal;2;1;1;0;1;1;M;0;2;0;minor;275;93;184
graphite-web;graphite-web;1;1;;0;1;0;M;0;0;1;patch;0;;0
gunicorn;gunicorn;1;1;;0;1;0;M;0;0;1;patch;3;;3
homeassistant;core;1;1;;0;1;0;M;0;0;1;patch;0;;0
httpie;httpie;1;1;;0;0;1;H;0;0;1;patch;62;;62
httplib2;httplib2;1;1;;0;0;1;H;0;1;0;minor;0;;0
imageio;imageio;1;1;;0;1;0;M;0;1;0;minor;0;;0
ipython;ipython;1;1;;0;1;0;M;0;0;1;patch;6;;6
jinja2;jinja;3;3;;0;2;1;M;0;0;3;patch;0;;0
jwcrypto;jwcrypto;1;1;;0;1;0;M;0;1;0;minor;88;;88
knack;knack;1;;1;0;0;1;H;0;0;1;patch;;0;0
luigi;luigi;2;2;;0;2;0;M;0;1;1;minor;0;;0
lxml;lxml;1;1;;0;1;0;M;0;0;1;patch;0;;0
markdown2;python-markdown2;2;1;1;0;1;1;M;0;0;2;patch;0;0;0
marshmallow;marshmallow;1;1;;0;1;0;M;0;0;1;patch;1;;1
mistune;mistune;1;1;;0;1;0;M;0;0;1;patch;0;;0
mitmproxy;mitmproxy;2;1;1;0;0;2;H;2;0;0;major;333;514;423
nltk;nltk;1;1;;0;1;0;M;0;0;1;patch;0;;0
notebook;notebook;5;4;1;0;5;0;M;3;1;1;major;155;60;136
numpy;numpy;2;2;;0;1;1;M;0;1;1;minor;107;;107
oic;pyoidc;1;1;;0;1;0;M;0;1;0;minor;73;;73
paramiko;paramiko;2;2;;0;0;2;H;0;0;2;patch;0;;0
pdoc3;pdoc;1;1;;0;0;1;H;0;1;0;minor;0;;0
peewee;peewee;1;1;;1;0;0;L;0;1;0;minor;0;;0
pillow;Pillow;10;8;2;0;5;5;M;0;5;5;minor;0;0;0
pip;pip;1;1;;0;0;1;H;0;0;1;patch;43;;43
platformio;platformio-core;1;1;;0;0;1;H;0;1;0;minor;13;;13
pyarrow;arrow;1;;1;0;1;0;M;0;1;0;minor;;14;14
pykmip;PyKMIP;1;1;;0;0;1;H;0;1;0;minor;23;;23
pylint;pylint;1;;1;0;1;0;M;0;1;0;minor;;45;45
pypiserver;pypiserver;1;1;;0;1;0;M;0;0;1;patch;2;;2
pyramid;pyramid;3;2;1;0;2;1;M;0;0;3;patch;182;220;194
pysaml2;pysaml2;2;2;;0;2;0;M;1;1;0;major;4;;4
pyspark;spark;1;1;;0;1;0;M;0;0;1;patch;3;;3
python-keystoneclient;python-keystoneclient;2;2;;0;2;0;M;0;0;2;patch;4;;4
pytorch-lightning;pytorch-lightning;1;;1;0;0;1;H;0;1;0;minor;;19;19
pyyaml;pyyaml;2;2;;0;0;2;H;0;0;2;patch;325;;325
recurly;recurly-client-python;1;1;;0;0;1;H;0;0;1;patch;0;;0
requests;requests;5;5;;0;4;1;M;0;5;0;minor;44;;44
requests-kerberos;requests-kerberos;1;1;;0;1;0;M;0;0;1;patch;10;;10
rope;rope;1;;1;0;0;1;H;0;1;0;minor;;0;0
rply;rply;1;1;;0;1;0;M;0;0;1;patch;0;;0
rsa;python-rsa;3;3;;0;2;1;M;0;0;3;patch;45;;45
rtslib-fb;rtslib-fb;1;;1;1;0;0;L;0;0;1;patch;;26;26
salt;salt;4;2;2;0;1;3;H;0;0;4;patch;4;14;9
scapy;scapy;2;2;;0;1;1;M;0;0;2;patch;243;;243
sceptre;sceptre;1;1;;0;1;0;M;0;1;0;minor;115;;115
scrapy;scrapy;1;1;;0;0;1;H;0;1;0;minor;85;;85
splunk-sdk;splunk-sdk-python;1;1;;0;0;1;H;0;0;1;patch;283;;283
starlette;starlette;1;;1;0;0;1;H;0;0;1;patch;;1;1
svglib;svglib;1;1;;0;1;0;M;0;0;1;patch;0;;0
tensorflow;tensorflow;23;23;;2;9;12;H;1;19;3;minor;73;;73
thrift;thrift;2;2;;0;0;2;H;0;2;0;minor;254;;254
tornado;tornado;1;;1;0;0;1;H;0;1;0;minor;;52;52
tqdm;tqdm;1;1;;0;0;1;H;0;0;1;patch;1;;1
twilio;twilio-python;1;1;;0;1;0;M;0;1;0;minor;1;;1
