Vuln ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
189;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.16.3;2015-05-30;2015-05-30;0
119;aiohttp-session;aiohttp_session;1b356f01bbab57d041c9a75bacd72fbbf8524728;v2.7.0;2018-10-12;2018-10-13;1
139;aiohttp-session;aiohttp_session;6b7864004d3442dbcfaf8687f63262c1c629f569;v2.4.0;2018-05-04;2018-05-04;0
109;aioxmpp;aioxmpp;29ff0838a40f58efe30a4bbcea95aa8dab7da475;v0.11.0;2019-01-10;2020-04-10;455
69;ansible;ansible;88416b627caac5f0f4bff335d5387e0bcca938ca;v2.7.16;2020-01-10;2020-01-15;5
70;ansible;ansible;7d2ae7e3226cdc8e37aea83c202aeb0e7e5a1aec;pre-ansible-base;2019-12-10;2020-03-06;91
73;ansible;ansible;d728127310b4f3a40ce8b9df3affb88ffaeea073;v2.7.13;2019-08-12;2019-08-15;3
92;ansible;ansible;8ed6350e65c82292a631f08845dfaacffe7f07f5;v1.7.0;2014-07-01;2014-08-06;35
121;ansible;ansible;8c1f701e6e9df29fe991f98265e2dd76acca4b8c;v2.8.0a1;2018-11-26;2019-04-04;133
127;ansible;ansible;a0aa53d1a1d6075a7ae98ace138712ee6cb45ae4;v2.8.0a1;2018-10-22;2019-04-04;167
137;ansible;ansible;ed56f51f185a1ffd7ea57130d260098686fcc7c2;v2.4.0.0-0.1.rc1;2017-05-08;2017-09-06;118
197;ansible;ansible;998793fd0ab55705d57527a38cee5e83f535974c;v1.5.4;2014-04-01;2014-04-01;0
104;ansible-runner;ansible-runner;dd2e549c6aadca4fb4f2cde11f1d4dca4b98964f;1.3.1;2019-03-26;2019-03-27;1
165;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.9.0alpha0;2017-03-28;2017-10-02;184
23;asyncpg;asyncpg;69bcdf5bf7696b98ee708be5408fd7d854e910d0;v0.21.0;2020-08-09;2020-08-09;0
205;autobahn;autobahn-python;b22cf13ad9d581a744eb90108ae9a9d19af08f88;v0.6.4;2013-10-07;2013-10-21;14
158;awscli;aws-cli;6080bb0b302b59149a305bfa0a6a7c92a07d1ea5;1.11.83;2017-05-04;2017-05-04;0
212;beaker;beaker;91becae76101cf87ce8cbfabe3af2622fc328fe5;v1.6.4;2012-08-07;2012-08-13;6
48;bleach;bleach;e4e9e21e7aebff40c88fafa4319bba4636a602d9;v3.1.2;2020-03-17;2020-03-17;0
52;bleach;bleach;996cde7a2439a2323f9c4b2567c8b8449d393351;v3.1.1;2020-02-19;2020-02-19;0
167;boto3;boto3;5a4396a4e0d1b337c081cb4095e5255da915198e;1.4.5;2017-03-27;2017-07-31;124
185;bson;bson;430c1a72c2c3669ce46ba28b4a813a2b12d07f31;0.4.2;2015-09-21;2016-01-24;128
176;cairosvg;cairosvg;212f6b9114a7bccf899c5fcd2baa42ea5391fa00;1.0.21;2016-06-14;2016-06-14;0
166;certifi;python-certifi;4f35e3529c78ced74040cf5d80bf8ec4aac9a190;2017.04.17;2017-04-17;2017-04-17;0
128;channels;channels;a1ecd5ee72a538f19bdd9e8f6bb91bb8aabba5d9;2.1.7;2019-01-25;2019-01-31;6
95;cherrypy;cherrypy;7e6187ee19a90ebe7f8597296bfa942cd1eb1864;cherrypy-2.2.0beta;2006-01-10;2006-01-27;17
42;codecov;codecov-python;f2c93c7893847e50639416c1bc2e38cb375825d8;v;2020-03-17;2020-03-17;0
53;codecov;codecov-python;2a80aa434f74feb31242b6f213b75ce63ae97902;v2.0.16;2020-02-19;2020-02-24;5
110;colander;colander;98805557c10ab5ff3016ed09aa2d48c49b9df40b;1.7.0;2019-02-01;2019-02-01;0
172;cryptography;cryptography;b924696b2e8731f39696584d12cceeb3aeb2d874;1.6;2016-11-06;2016-11-21;15
187;cryptography;cryptography;41aabcbd2326ae154a16a1a050ee01fb9a54bd19;1.1;2015-09-09;2015-10-28;49
29;django;django;07e59caa02831c4569bbebb9eb773bdd9cb4b206;2.2.13;2020-06-03;2020-06-03;0
30;django;django;6d61860b22875f358fac83d903dc629897934815;2.2.13;2020-06-03;2020-06-03;0
71;django;django;11c5e0609bcc0db93809de2a08e0dc3d70b393e4;3.1a1;2019-12-02;2020-05-14;167
93;django;django;54d0f5e62f54c29a12dd96f44bacd810cbe03ac8;3.0a1;2019-07-01;2019-09-10;69
97;django;django;afddabf8428ddc89a332f7a78d0d21eaf2b5a673;2.2.2;2019-06-03;2019-06-03;0
108;django;django;40cd19055773705301c3428ed5e08a036d2091f3;2.1.6;2019-02-11;2019-02-11;0
114;django;django;1ecc0a395;2.2a1;2019-01-03;2019-01-17;14
125;django;django;f5335bc745d4f86d355b69549712885fd1634574;2.1.2;2018-09-26;2018-10-01;5
179;django;django;67b46ba7016da2d259c1ecc7d666d11f5e1cfaab;1.10a1;2016-03-01;2016-05-20;79
180;django;django;c5544d289233f501917e25970c03ed444abbd4f0;1.10a1;2016-03-01;2016-05-20;79
181;django;django;316bc3fc9437c5960c24baceb93c73f1939711e4;1.10a1;2015-11-24;2016-05-20;181
194;django;django;2b31342cdf14fc20e07c43d258f1e7334ad664a6;1.7c3;2014-08-20;2014-08-20;0
217;django;django;732198ed5c;1.3;2010-12-23;2011-03-23;95
218;django;django;6819be1ea1;1.3;2010-12-23;2011-03-23;95
146;django-anymail;django-anymail;1a6086f2b58478d71f89bf27eb034ed81aefe5ef;v1.4;2018-02-08;2018-02-08;0
151;django-anymail;django-anymail;c07998304b4a31df4c61deddcb03d3607a04691b;v1.2.1;2018-02-02;2018-02-02;0
148;django-cacheops;django-cacheops;adba2dc9908c50157d417fd7564669c11ed23b2a;4.0.6;2018-02-23;2018-03-08;15
36;django-hashid-field;django-hashid-field;2a0be45333c5a700bbba0e15533ff8dce589e956;3.1.1;2020-01-15;2020-01-15;0
157;django-haystack;django-haystack;1b1b986890b5cb330b0b8a963b090e9b831c198c;v1.1;2009-03-24;2010-11-23;604
79;django-js-reverse;django-js-reverse;78d6aff2276f2d341f643b095515f8aaba5e67c2;v0.9.1;2019-05-09;2019-05-09;0
3;django-rest-framework;django-rest-framework;4121b01b912668c049b26194a9a107c27a332429;3.11.2;2020-09-30;2020-09-30;0
161;django-revproxy;django-revproxy;e9b4dfd162c73adbad6077355c9420d0c40d4f3f;0.9.7;2015-09-16;2015-12-03;77
33;django-select2;django-select2;4a1b83ad1e9b2523961a0f23706c70b01683494f;5.7.0;2016-01-26;2016-01-26;0
130;django-storages;django-storages;6ee6a739752923c60eaa1e82262c1d07208ec7f6;1.7;2018-09-02;2018-09-03;1
216;django-tastypie;django-tastypie;e8af315211b07c8f48f32a063233cc3f76dd5bc2;v0.9.11;2011-10-28;2011-12-09;41
25;django-two-factor-auth;django-two-factor-auth;454fd9842fa6e8bb772dbf0943976bc8e3335359;1.12;2020-07-08;2020-07-08;0
57;django-user-sessions;django-user-sessions;f0c4077e7d1436ba6d721af85cee89222ca5d2d9;1.7.1;2020-01-24;2020-01-24;0
100;djoser;djoser;fcd20f302fd1d5d37319b42094ad070f17ed36cc;1.5.1;2019-04-01;2019-04-01;0
115;djoser;djoser;73b84926d9566df12d48245b06c5d5c986bbb272;1.3.2;2018-11-17;2018-12-04;17
78;elastic-apm;apm-agent-python;47286d746e05897c6b3af8d465aa56ab1ed8d678;v5.1.0;2019-08-14;2019-08-14;0
213;facebook-sdk;facebook-sdk;3fc17fa91feacba3b2188dcd6033962dd7c89326;v0.3.2;2012-07-17;2012-07-28;11
