Package name;Clone url
aiohttp;https://github.com/aio-libs/aiohttp.git
aiohttp-session;https://github.com/aio-libs/aiohttp.git
aioxmpp;https://github.com/horazont/aioxmpp.git
ansible;https://github.com/ansible/ansible-runner.git
ansible-runner;https://github.com/ansible/ansible-runner.git
ansible-vault;https://github.com/tomoh1r/ansible-vault.git
apache-airflow;https://github.com/apache/airflow.git
apache-libcloud;https://github.com/apache/libcloud.git
astropy;http://github.com/astropy/astropy.git
asyncpg;https://github.com/MagicStack/asyncpg.git
autobahn;https://github.com/crossbario/autobahn-python.git
bbcode;https://github.com/dcwatson/bbcode.git
beaker;https://github.com/bbangert/beaker.git
bleach;https://github.com/mozilla/bleach.git
boto;https://github.com/alliefitter/boto3_type_annotations.git
boto3;https://github.com/alliefitter/boto3_type_annotations.git
bottle;https://github.com/bottlepy/bottle.git
bson;http://github.com/py-bson/bson.git
cairosvg;https://github.com/kozea/cairosvg.git
celery;https://github.com/sibson/redbeat.git
certifi;https://github.com/certifi/python-certifi.git
cfscrape;https://github.com/Anorov/cloudflare-scrape.git
channels;http://github.com/django/channels.git
channels-redis;http://github.com/django/channels.git
cherrypy;https://github.com/cherrypy/cherrypy.git
codecov;https://github.com/codecov/codecov-python.git
colander;https://github.com/Pylons/colander.git
colourama;http://github.com/vaab/colour.git
comet;https://github.com/Clancey/Comet.git
confluent-kafka;https://github.com/confluentinc/confluent-kafka-python.git
cookiecutter;https://github.com/cookiecutter/cookiecutter.git
coveralls;http://github.com/coveralls-clients/coveralls-python.git
crypt;https://github.com/pyca/cryptography.git
cryptoauthlib;https://github.com/chrissimpkins/crypto.git
cryptography;https://github.com/pyca/cryptography.git
cssutils;https://github.com/cssutils/cssutils.git
datasette;http://github.com/pudo/dataset.git
defusedxml;https://github.com/tiran/defusedxml.git
django;https://github.com/smileychris/django-countries.git
django-allauth;http://github.com/pennersr/django-allauth.git
django-anymail;https://github.com/anymail/django-anymail.git
django-ca;http://github.com/Suor/django-cacheops.git
django-cacheops;http://github.com/Suor/django-cacheops.git
django-celery-results;https://github.com/celery/django-celery-results.git
django-cms;https://github.com/divio/django-cms.git
django-countries;https://github.com/smileychris/django-countries.git
django-crispy-forms;https://github.com/django-crispy-forms/django-crispy-forms.git
django-fernet-fields;https://github.com/orcasgit/django-fernet-fields.git
django-filter;https://github.com/carltongibson/django-filter.git
django-hashid-field;https://github.com/nshafer/django-hashid-field.git
django-haystack;https://github.com/django-haystack/django-haystack.git
django-jet;https://github.com/geex-arts/django-jet.git
django-registration;https://github.com/ubernostrum/django-registration.git
django-registration-redux;https://github.com/ubernostrum/django-registration.git
django-storages;https://github.com/jschneier/django-storages.git
