Severity;Name;Vulnerability_url;Package;Versions;CVE;GitHub Advisory;GitHub Commit;GitHub Release;GitHub Release Tag;GitHub Additional Information;GitHub PR;GitHub Issue;NVD
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1020815;tensorflow-gpu;[,2.4.0);CVE-2020-15266;;https://github.com/tensorflow/tensorflow/pull/42143/commits/3ade2efec2e90c6237de32a19680caaa3ebc2845;;;;;https://github.com/tensorflow/tensorflow/issues/42129;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1020814;tensorflow-cpu;[,2.4.0);CVE-2020-15266;;https://github.com/tensorflow/tensorflow/pull/42143/commits/3ade2efec2e90c6237de32a19680caaa3ebc2845;;;;;https://github.com/tensorflow/tensorflow/issues/42129;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1020813;tensorflow;[,2.4.0);CVE-2020-15266;;https://github.com/tensorflow/tensorflow/pull/42143/commits/3ade2efec2e90c6237de32a19680caaa3ebc2845;;;;;https://github.com/tensorflow/tensorflow/issues/42129;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1020820;tensorflow-gpu;[,2.4.0);CVE-2020-15265;;https://github.com/tensorflow/tensorflow/commit/eccb7ec454e6617738554a255d77f08e60ee0808;;;;;https://github.com/tensorflow/tensorflow/issues/42105;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1020821;tensorflow-cpu;[,2.4.0);CVE-2020-15265;;https://github.com/tensorflow/tensorflow/commit/eccb7ec454e6617738554a255d77f08e60ee0808;;;;;https://github.com/tensorflow/tensorflow/issues/42105;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1020819;tensorflow;[,2.4.0);CVE-2020-15265;;https://github.com/tensorflow/tensorflow/commit/eccb7ec454e6617738554a255d77f08e60ee0808;;;;;https://github.com/tensorflow/tensorflow/issues/42105;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1020817;tensorflow-gpu;[,2.4.0);CVE-2020-15265;;https://github.com/tensorflow/tensorflow/commit/eccb7ec454e6617738554a255d77f08e60ee0808;;;;;https://github.com/tensorflow/tensorflow/issues/42105;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1020818;tensorflow-cpu;[,2.4.0);CVE-2020-15265;;https://github.com/tensorflow/tensorflow/commit/eccb7ec454e6617738554a255d77f08e60ee0808;;;;;https://github.com/tensorflow/tensorflow/issues/42105;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1020816;tensorflow;[,2.4.0);CVE-2020-15265;;https://github.com/tensorflow/tensorflow/commit/eccb7ec454e6617738554a255d77f08e60ee0808;;;;;https://github.com/tensorflow/tensorflow/issues/42105;
H;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-SPLUNKSDK-1017035;splunk-sdk;[0,];;;;;;;;https://github.com/splunk/splunk-sdk-python/issues/309;
H;Arbitrary Code Execution;https://snyk.io/vuln/SNYK-PYTHON-DJANGOCMS-1016279;django-cms;[3.4.0,3.4.7),[3.5.0,3.5.4),[3.6.0,3.6.1),[3.7.0,3.7.4);;;;;;;;;
L;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-CRYPTOAUTHLIB-1015596;cryptoauthlib;[0, 3.2.3);;https://github.com/MicrochipTech/cryptoauthlib/security/advisories/GHSA-f366-4rvv-95x2;;;https://github.com/MicrochipTech/cryptoauthlib/releases/tag/v3.2.3;;;;
H;HTTP Header Injection;https://snyk.io/vuln/SNYK-PYTHON-URLLIB3-1014645;urllib3;[,1.25.9);CVE-2020-26137;;https://github.com/urllib3/urllib3/commit/1dd69c5c5982fae7c87a620d487c2ebf7a6b436b;;;;https://github.com/urllib3/urllib3/pull/1800;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013620;tensorflow-gpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15206;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-w5gh-2wr2-pm6g;;;;https://github.com/advisories/GHSA-w5gh-2wr2-pm6g;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15206
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013619;tensorflow-cpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15206;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-w5gh-2wr2-pm6g;;;;https://github.com/advisories/GHSA-w5gh-2wr2-pm6g;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15206
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013618;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15206;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-w5gh-2wr2-pm6g;;;;https://github.com/advisories/GHSA-w5gh-2wr2-pm6g;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15206
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013615;tensorflow-gpu;[2.3.0, 2.3.1);CVE-2020-15200;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x7rp-74x2-mjf3;;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15200
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013617;tensorflow-cpu;[2.3.0, 2.3.1);CVE-2020-15200;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x7rp-74x2-mjf3;;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15200
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013616;tensorflow;[2.3.0, 2.3.1);CVE-2020-15200;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x7rp-74x2-mjf3;;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15200
