ID;Package name;Clone dir;Commit hash;N. Releases;Commit date; Avg time interval
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;174;2015-05-30;869
111;aioxmpp;aioxmpp;29ff0838a40f58efe30a4bbcea95aa8dab7da475;1;2019-01-10;455
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;108;2017-03-28;889
106;ansible-runner;ansible-runner;dd2e549c6aadca4fb4f2cde11f1d4dca4b98964f;11;2019-03-26;160
81;elastic-apm;apm-agent-python;47286d746e05897c6b3af8d465aa56ab1ed8d678;23;2019-08-14;164
23;asyncpg;asyncpg;69bcdf5bf7696b98ee708be5408fd7d854e910d0;1;2020-08-09;0
219;autobahn;autobahn-python;b22cf13ad9d581a744eb90108ae9a9d19af08f88;113;2013-10-07;1178
229;beaker;beaker;91becae76101cf87ce8cbfabe3af2622fc328fe5;11;2012-08-07;1507
49;bleach;bleach;e4e9e21e7aebff40c88fafa4319bba4636a602d9;6;2020-03-17;68
54;bleach;bleach;996cde7a2439a2323f9c4b2567c8b8449d393351;7;2020-02-19;82
193;bson;bson;430c1a72c2c3669ce46ba28b4a813a2b12d07f31;6;2015-09-21;522
185;cairosvg;cairosvg;212f6b9114a7bccf899c5fcd2baa42ea5391fa00;2;2016-06-14;1
130;channels;channels;a1ecd5ee72a538f19bdd9e8f6bb91bb8aabba5d9;8;2019-01-25;284
96;cherrypy;cherrypy;7e6187ee19a90ebe7f8597296bfa942cd1eb1864;121;2006-01-10;3382
42;codecov;codecov-python;f2c93c7893847e50639416c1bc2e38cb375825d8;15;2020-03-17;61
55;codecov;codecov-python;2a80aa434f74feb31242b6f213b75ce63ae97902;16;2020-02-19;84
112;colander;colander;98805557c10ab5ff3016ed09aa2d48c49b9df40b;4;2019-02-01;412
140;homeassistant;core;0f12b37977766647dcc34a0189b37c7379b5f665;443;2018-07-16;426
179;cryptography;cryptography;b924696b2e8731f39696584d12cceeb3aeb2d874;38;2016-11-06;632
195;cryptography;cryptography;41aabcbd2326ae154a16a1a050ee01fb9a54bd19;55;2015-09-09;796
154;django-cacheops;django-cacheops;adba2dc9908c50157d417fd7564669c11ed23b2a;7;2018-02-23;506
35;django-hashid-field;django-hashid-field;2a0be45333c5a700bbba0e15533ff8dce589e956;3;2020-01-15;91
163;django-haystack;django-haystack;1b1b986890b5cb330b0b8a963b090e9b831c198c;36;2009-03-24;2152
132;django-storages;django-storages;6ee6a739752923c60eaa1e82262c1d07208ec7f6;8;2018-09-02;416
