Package name;Clone dir;Tot vulns with commit;# Severity L;# Severity M;# Severity H;Median severity;# Major v.;# Minor v.;# Patch v.;Median release type;Avg time interval
ansible;ansible;14;3;9;2;M;0;11;3;minor;127
apache-airflow;airflow;3;0;1;2;H;0;0;3;patch;54
asteval;asteval;1;0;0;1;H;0;0;1;patch;14
autobahn;autobahn-python;1;0;1;0;M;0;0;1;patch;1
bleach;bleach;1;0;0;1;H;0;0;1;patch;0
django-celery-results;django-celery-results;1;1;0;0;L;1;0;0;major;29
ecdsa;python-ecdsa;1;1;0;0;L;0;0;1;patch;39
fastapi;fastapi;1;0;1;0;M;0;1;0;minor;0
flask;flask;2;0;0;2;H;0;0;2;patch;19
flask-cors;flask-cors;1;0;0;1;H;0;0;1;patch;0
gdal;gdal;1;0;1;0;M;0;1;0;minor;93
jinja2;jinja;1;0;1;0;M;0;0;1;patch;0
knack;knack;1;0;0;1;H;0;0;1;patch;0
markdown2;python-markdown2;1;0;0;1;H;0;0;1;patch;0
mitmproxy;mitmproxy;1;0;0;1;H;1;0;0;major;514
notebook;notebook;1;0;1;0;M;0;1;0;minor;60
numba;numba;1;0;1;0;M;0;1;0;minor;37
pillow;pillow;6;0;3;3;M;0;6;0;minor;0
pwntools;pwntools;1;0;0;1;H;0;0;1;patch;0
pyarrow;arrow;1;0;1;0;M;0;1;0;minor;14
pylint;pylint;1;0;1;0;M;0;1;0;minor;45
pyramid;pyramid;1;0;1;0;M;0;0;1;patch;220
pytorch-lightning;pytorch-lightning;1;0;0;1;H;0;1;0;minor;19
rasa;rasa;1;0;1;0;M;0;1;0;minor;1
rope;rope;1;0;0;1;H;0;1;0;minor;0
rtslib-fb;rtslib-fb;1;1;0;0;L;0;0;1;patch;26
salt;salt;2;0;0;2;H;0;0;2;patch;14
starlette;starlette;1;0;0;1;H;0;0;1;patch;1
tornado;tornado;1;0;0;1;H;0;1;0;minor;52
twisted;twisted;2;0;1;1;M;0;2;0;minor;21
urllib3;urllib3;1;0;1;0;M;0;0;1;patch;213
werkzeug;werkzeug;2;1;1;0;L;0;0;2;patch;143
