package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
aadict;https://github.com/metagriffin/aadict;387812;;
abbyy;https://github.com/samueltc/abbyy;710074;;
absl-py;https://github.com/abseil/abseil-py;82416326;55291;385
accumulation-tree;https://github.com/tkluck/accumulation_tree;5078253;;
acme;https://github.com/certbot/certbot;6911324;721;121
adal;https://github.com/azuread/azure-activedirectory-library-for-python;53323241;2953;84
addict;https://github.com/mewwts/addict;890849;1229;134
adyen;https://github.com/adyen/adyen-python-api-library;282007;91;1
aenum;https://github.com/ethanfurman/aenum;10373764;1856;139
aerospike;https://github.com/aerospike/aerospike-client-python;1037423;;
affine;https://github.com/sgillies/affine;1534731;1335;69
affinegap;https://github.com/dedupeio/affinegap;441541;;
agate;https://github.com/wireservice/agate;1497559;501;15
agate-dbf;https://github.com/wireservice/agate-dbf;525619;;
agate-excel;https://github.com/wireservice/agate-excel;525744;;
agate-sql;https://github.com/wireservice/agate-sql;527741;;
aioamqp;https://github.com/polyconseil/aioamqp;326629;;
aioboto3;https://github.com/terrycain/aioboto3;394080;136;23
aiobotocore;https://github.com/aio-libs/aiobotocore;2984214;558;59
aiocache;https://github.com/aio-libs/aiocache;389454;378;29
aioconsole;https://github.com/vxgmichel/aioconsole;4873606;334;33
aiocontextvars;https://github.com/fantix/aiocontextvars;1106504;;
aiodataloader;https://github.com/syrusakbary/aiodataloader;295376;;
aiodns;https://github.com/saghul/aiodns;5384279;13969;250
aiofiles;https://github.com/tinche/aiofiles;9349604;13938;482
aiogithubapi;https://github.com/ludeeus/aiogithubapi;1622643;;
aiohttp;https://github.com/aio-libs/aiohttp;55845371;76246;3789
aiohttp-cors;https://github.com/aio-libs/aiohttp-cors;1551227;;
aiohttp-jinja2;https://github.com/aio-libs/aiohttp-jinja2;616215;;
aiohttp-session;https://github.com/aio-libs/aiohttp-session;417012;;
aioitertools;https://github.com/omnilib/aioitertools;547075;;
aiokafka;https://github.com/aio-libs/aiokafka;708630;429;37
aiomysql;https://github.com/aio-libs/aiomysql;362843;11799;89
aioopenssl;https://github.com/horazont/aioopenssl;4894089;;
aiopg;https://github.com/aio-libs/aiopg;783796;1435;70
aio-pika;https://github.com/mosquito/aio-pika;644832;628;59
aioprometheus;https://github.com/claws/aioprometheus;2877981;39;11
aioredis;https://github.com/aio-libs/aioredis;3463551;11276;293
aioresponses;https://github.com/pnuckowski/aioresponses;1075153;;
aiormq;https://github.com/mosquito/aiormq;521558;;
aiosasl;https://github.com/horazont/aiosasl;4881069;;
aiosmtplib;https://github.com/cole/aiosmtplib;307850;;
aiosqlite;https://github.com/omnilib/aiosqlite;295215;;
aiostream;https://github.com/vxgmichel/aiostream;343278;110;26
aioxmpp;https://github.com/horazont/aioxmpp;4764048;;
airspeed;https://github.com/purcell/airspeed;410861;112;6
alabaster;https://github.com/bitprophet/alabaster;23746025;41528;321
albumentations;https://github.com/albumentations-team/albumentations;392547;2948;94
alchemy-mock;https://github.com/miki725/alchemy-mock;381119;76;4
alexapy;https://github.com/custom-components/alexa_media_player;388727;;
algoliasearch;https://github.com/algolia/algoliasearch-client-python;973521;;
