Package name;Clone url
aiohttp;https://github.com/aio-libs/aiohttp.git
aiohttp-session;https://github.com/aio-libs/aiohttp-session.git
aioxmpp;https://github.com/horazont/aioxmpp.git
ansible;https://github.com/ansible/ansible.git
ansible-runner;https://github.com/ansible/ansible-runner.git
anyconfig;https://github.com/ssato/python-anyconfig.git
apache-airflow;https://github.com/apache/airflow.git
asteval;https://github.com/newville/asteval.git
asyncpg;https://github.com/magicstack/asyncpg.git
asyncssh;https://github.com/ronf/asyncssh.git
autobahn;https://github.com/crossbario/autobahn-python.git
awscli;https://github.com/aws/aws-cli.git
bbcode;https://github.com/dcwatson/bbcode.git
beaker;https://github.com/bbangert/beaker.git
bleach;https://github.com/mozilla/bleach.git
boto;https://github.com/boto/boto.git
boto3;https://github.com/boto/boto3.git
bottle;https://github.com/bottlepy/bottle.git
bson;https://github.com/py-bson/bson.git
cairosvg;https://github.com/kozea/cairosvg.git
celery;https://github.com/celery/celery.git
certifi;https://github.com/certifi/python-certifi.git
channels;https://github.com/django/channels.git
channels-redis;https://github.com/django/channels_redis.git
cheroot;https://github.com/cherrypy/cheroot.git
cherrypy;https://github.com/cherrypy/cherrypy.git
clickhouse-driver;https://github.com/mymarilyn/clickhouse-driver.git
codecov;https://github.com/codecov/codecov-python.git
colander;https://github.com/pylons/colander.git
confluent-kafka;https://github.com/confluentinc/confluent-kafka-python.git
cryptography;https://github.com/pyca/cryptography.git
django;https://github.com/django/django.git
django-anymail;https://github.com/anymail/django-anymail.git
django-cacheops;https://github.com/suor/django-cacheops.git
django-celery-results;https://github.com/celery/django-celery-results.git
django-hashid-field;https://github.com/nshafer/django-hashid-field.git
django-haystack;https://github.com/django-haystack/django-haystack.git
django-js-reverse;https://github.com/ierror/django-js-reverse.git
django-oauth-toolkit;https://github.com/jazzband/django-oauth-toolkit.git
django-registration;https://github.com/ubernostrum/django-registration.git
django-registration-redux;https://github.com/macropin/django-registration.git
djangorestframework;https://github.com/encode/django-rest-framework.git
django-rest-framework;https://github.com/encode/django-rest-framework.git
django-revproxy;https://github.com/tracywebtech/django-revproxy.git
django-select2;https://github.com/codingjoe/django-select2.git
django-storages;https://github.com/jschneier/django-storages.git
django-tastypie;https://github.com/django-tastypie/django-tastypie.git
django-two-factor-auth;https://github.com/bouke/django-two-factor-auth.git
django-user-sessions;https://github.com/jazzband/django-user-sessions.git
djoser;https://github.com/sunscrapers/djoser.git
dynamodb-encryption-sdk;https://github.com/aws/aws-dynamodb-encryption-python.git
ecdsa;https://github.com/tlsfuzzer/python-ecdsa.git
elastic-apm;https://github.com/elastic/apm-agent-python.git
facebook-sdk;https://github.com/mobolic/facebook-sdk.git
fastapi;https://github.com/tiangolo/fastapi.git
flask;https://github.com/pallets/flask.git
flask-admin;https://github.com/flask-admin/flask-admin.git
flask-appbuilder;https://github.com/dpgaspar/flask-appbuilder.git
flask-cors;https://github.com/corydolphin/flask-cors.git
flower;https://github.com/mher/flower.git
gdal;https://github.com/osgeo/gdal.git
graphite-web;https://github.com/graphite-project/graphite-web.git
gunicorn;https://github.com/benoitc/gunicorn.git
homeassistant;https://github.com/home-assistant/core.git
httpie;https://github.com/httpie/httpie.git
httplib2;https://github.com/httplib2/httplib2.git
imageio;https://github.com/imageio/imageio.git
ipaddress;https://github.com/phihag/ipaddress.git
ipython;https://github.com/ipython/ipython.git
jinja2;https://github.com/pallets/jinja.git
jwcrypto;https://github.com/latchset/jwcrypto.git
knack;https://github.com/microsoft/knack.git
luigi;https://github.com/spotify/luigi.git
lxml;https://github.com/lxml/lxml.git
markdown2;https://github.com/trentm/python-markdown2.git
marshmallow;https://github.com/marshmallow-code/marshmallow.git
mistune;https://github.com/lepture/mistune.git
mitmproxy;https://github.com/mitmproxy/mitmproxy.git
msgpack;https://github.com/msgpack/msgpack-python.git
nltk;https://github.com/nltk/nltk.git
notebook;https://github.com/jupyter/notebook.git
numba;https://github.com/numba/numba.git
numpy;https://github.com/numpy/numpy.git
