Package name;Clone url
aiohttp;https://github.com/aio-libs/aiohttp.git
aiohttp-session;https://github.com/aio-libs/aiohttp.git
aioxmpp;https://github.com/horazont/aioxmpp.git
ansible;https://github.com/ansible/ansible-runner.git
ansible-runner;https://github.com/ansible/ansible-runner.git
apache-airflow;https://github.com/apache/airflow.git
asyncpg;https://github.com/MagicStack/asyncpg.git
autobahn;https://github.com/crossbario/autobahn-python.git
bbcode;https://github.com/dcwatson/bbcode.git
beaker;https://github.com/bbangert/beaker.git
bleach;https://github.com/mozilla/bleach.git
boto;https://github.com/alliefitter/boto3_type_annotations.git
boto3;https://github.com/alliefitter/boto3_type_annotations.git
bottle;https://github.com/bottle/bottle.git
bson;http://github.com/py-bson/bson.git
cairosvg;https://github.com/kozea/cairosvg.git
certifi;https://github.com/certifi/python-certifi.git
channels;http://github.com/django/channels.git
channels-redis;http://github.com/django/channels.git
cherrypy;https://github.com/cherrypy/cherrypy.git
codecov;https://github.com/codecov/codecov-python.git
colander;https://github.com/Pylons/colander.git
comet;https://github.com/comet-git-pure/comet-git-pure.git
confluent-kafka;https://github.com/confluentinc/confluent-kafka-python.git
cryptography;https://github.com/pyca/cryptography.git
datasette;http://github.com/pudo/dataset.git
django;http://github.com/Suor/django-cacheops.git
django-anymail;https://github.com/smileychris/django-countries.git
django-ca;http://github.com/Suor/django-cacheops.git
django-cacheops;http://github.com/Suor/django-cacheops.git
django-hashid-field;https://github.com/nshafer/django-hashid-field.git
django-haystack;https://github.com/django-haystack/django-haystack.git
django-registration;https://github.com/ubernostrum/django-registration.git
django-storages;https://github.com/jschneier/django-storages.git
django-tastypie;https://github.com/django-tastypie/django-tastypie.git
djoser;https://github.com/sunscrapers/djoser.git
ecdsa;http://github.com/warner/python-ecdsa.git
elastic-apm;https://github.com/elastic/apm-agent-python.git
eve;https://github.com/edx/event-tracking.git
facebook-sdk;https://github.com/mobolic/facebook-sdk.git
flask;https://github.com/gangverk/flask-swagger.git
flask-admin;https://github.com/gangverk/flask-swagger.git
flask-appbuilder;https://github.com/gangverk/flask-swagger.git
flower;https://github.com/mher/flower.git
gdal;https://github.com/gdal/gdal.git
graphite-web;https://github.com/graphite-project/graphite-web.git
gunicorn;https://github.com/benoitc/gunicorn.git
homeassistant;https://github.com/home-assistant/core.git
httpie;https://github.com/jakubroztocil/httpie.git
imageio;https://github.com/imageio/imageio.git
ipython;https://github.com/ipython/ipython.git
jinja2;https://github.com/aromanovich/jinja2schema.git
jupyterhub-kubespawner;https://github.com/jupyterhub/jupyterhub.git
jwcrypto;https://github.com/latchset/jwcrypto.git
keystone;https://github.com/openstack/keystone.git
luigi;https://github.com/spotify/luigi.git
