Vuln ID;Severity;Package name;Clone dir;Commit hash;Release;Release type;Commit date;Release date;Time interval
1;H;ansible;ansible;cb0f535a8b254a2daf69cd067e842fabb2993034;2.8.6;patch;2019-10-10;2019-10-17;7
2;M;ansible;ansible;cc82d986c40328d4ae81298a9d287c95a6326bb0;2.8.19;patch;2021-02-04;2021-02-17;13
5;M;ansible;ansible;6452a82452f3a721233b50f62419598206442fd9;2.10.0;minor;2020-03-25;2020-08-13;138
6;M;ansible;ansible;a20a52701402a12f91396549df04ac55809f68e9;2.10.0;minor;2020-04-01;2020-08-13;132
7;L;ansible;ansible;28f9fbdb5e281976e33f443193047068afb97a9b;2.10.0;minor;2020-04-03;2020-08-13;130
8;H;ansible;ansible;ba87c225cd13343c35075fe7fc15b4cf1343fed6;2.10.0;minor;2020-04-08;2020-08-13;125
10;M;ansible;ansible;8077d8e40148fe77e2393caa5f2b2ea855149d63;2.10.0;minor;2020-04-13;2020-08-13;120
11;L;ansible;ansible;d91658ec0c8434c82c3ef98bfe9eb4e1027a43a3;2.10.0;minor;2020-04-13;2020-08-13;120
12;M;ansible;ansible;d30c57ab22db24f6901166fcc3155667bdd3443f;2.10.0;minor;2020-02-28;2020-08-13;165
13;M;ansible;ansible;d41e38435b1a9e300d8011ac28f16a5add2db119;2.9.7;patch;2020-04-14;2020-04-16;2
14;M;ansible;ansible;7f4befdea77045fa83b5f2b304bd5e16b219f74c;2.10.0;minor;2019-10-11;2020-08-13;307
15;L;ansible;ansible;c76e074e4c71c7621a1ca8159261c1959b5287af;2.10.0;minor;2019-11-01;2020-08-13;287
17;M;ansible;ansible;b9b0b230150eceb442c34c917d9e852d5e8b7371;2.9.0;minor;2019-06-06;2019-10-31;145
18;M;ansible;ansible;b34d141eede8731e63cbb0312efce31559c44022;2.8.0;minor;2019-02-13;2019-05-16;93
19;M;apache-airflow;airflow;409c249121bd9c8902fc2ba551b21873ab41f953;1.0.3;patch;2021-03-12;2021-03-13;1
20;H;apache-airflow;airflow;24ca556059c7e434ac41aa353284bcf61a150545;2020.6.24;patch;2020-01-18;2020-06-19;151
