Package name;Clone dir;Commit vulns;Commit avg time interval;PR vulns;PR avg time interval;Total vulns;Total avg time interval;Pypi downloads;Dep repos;Dep packages
urllib3;urllib3;6;5;1;1;3;2;M;0;0;6;patch;32;213;62;1086396695;504101;4439
requests;requests;5;5;;0;4;1;M;0;5;0;minor;44;;44;786762026;847404;51478
certifi;python-certifi;1;1;;0;1;0;M;0;0;1;patch;0;;0;738148393;501070;3219
pip;pip;1;1;;0;0;1;H;0;0;1;patch;43;;43;654680592;44011;1182
pyyaml;pyyaml;3;3;;0;0;3;H;0;0;3;patch;219;;219;637746128;281703;13623
rsa;python-rsa;3;3;;0;2;1;M;0;0;3;patch;45;;45;565699866;;
boto3;boto3;1;1;;1;0;0;L;0;0;1;patch;124;;124;464866307;99498;4281
numpy;numpy;2;2;;0;1;1;M;0;1;1;minor;107;;107;437086672;622138;32616
awscli;aws-cli;1;1;;0;1;0;M;0;0;1;patch;0;;0;420684707;19931;304
jinja2;jinja;4;3;1;0;3;1;M;0;0;4;patch;0;0;0;311487056;585439;6162
cryptography;cryptography;4;4;;0;2;2;M;0;0;4;patch;27;;27;279792381;152639;2745
werkzeug;werkzeug;7;5;2;2;3;2;M;0;0;7;patch;40;143;69;197742586;472044;1648
py;py;1;1;;0;1;0;M;0;1;0;minor;98;;98;153832347;;
pygments;pygments;1;1;;0;0;1;H;0;0;1;patch;1;;1;151828958;202839;2615
flask;flask;3;1;2;1;0;2;H;0;0;3;patch;8;19;15;143727210;685323;6638
pillow;pillow;15;9;6;0;6;9;H;0;9;6;minor;0;0;0;130548120;416907;6751
websocket-client;websocket-client;1;1;;0;1;0;M;0;1;0;minor;36;;36;120993723;34019;910
pyopenssl;pyopenssl;1;1;;0;1;0;M;0;1;0;minor;0;;0;117955771;;
lxml;lxml;3;3;;0;2;1;M;0;1;2;patch;40;;40;110460726;155626;5894
ipython;ipython;1;1;;0;1;0;M;0;0;1;patch;6;;6;104847183;182096;2830
httplib2;httplib2;2;2;;0;0;2;H;0;2;0;minor;5;;5;103390575;68796;829
boto;boto;1;1;;0;1;0;M;0;1;0;minor;262;;262;100617412;59929;1076
tornado;tornado;1;;1;0;0;1;H;0;1;0;minor;;52;52;100610951;150422;2056
tqdm;tqdm;1;1;;0;0;1;H;0;0;1;patch;1;;1;94903807;150062;6583
tensorflow;tensorflow;23;23;;2;9;12;H;1;19;3;minor;73;;73;90697505;124589;2775
bleach;bleach;4;3;1;0;3;1;M;0;1;3;patch;0;0;0;89058065;110977;646
paramiko;paramiko;2;2;;0;0;2;H;0;0;2;patch;0;;0;79766805;38036;1438
gunicorn;gunicorn;1;1;;0;1;0;M;0;0;1;patch;3;;3;77578114;412436;997
mistune;mistune;1;1;;0;1;0;M;0;0;1;patch;0;;0;63194284;98325;336
notebook;notebook;6;5;1;0;6;0;M;3;1;2;major;131;60;119;60149050;95567;621
pyarrow;arrow;1;;1;0;1;0;M;0;1;0;minor;;14;14;58493301;33;4
aiohttp;aiohttp;1;1;;0;1;0;M;0;0;1;patch;0;;0;55845371;76246;3789
pylint;pylint;2;1;1;0;1;1;M;0;2;0;minor;166;45;105;53578898;183399;2590
django;django;14;14;;3;9;2;M;0;0;14;patch;128;;128;52846760;621703;9794
msgpack;msgpack-python;1;1;;0;1;0;M;0;1;0;minor;22;;22;45176561;37048;646
ansible;ansible;25;11;14;3;14;8;M;0;16;9;minor;93;127;112;41640560;15797;313
pyspark;spark;1;1;;0;1;0;M;0;0;1;patch;3;;3;39033003;576;0
websockets;websockets;1;1;;0;0;1;H;0;0;1;patch;4;;4;38953034;29892;833
nltk;nltk;1;1;;0;1;0;M;0;0;1;patch;0;;0;38602266;91567;1362
marshmallow;marshmallow;1;1;;0;1;0;M;0;0;1;patch;1;;1;34084194;24864;884
thrift;thrift;2;2;;0;0;2;H;0;2;0;minor;254;;254;29440782;2053;252
djangorestframework;django-rest-framework;1;1;;0;1;0;M;0;0;1;patch;0;;0;26337218;204488;1705
ecdsa;python-ecdsa;1;;1;1;0;0;L;0;0;1;patch;;39;39;24429849;15946;396
imageio;imageio;1;1;;0;1;0;M;0;1;0;minor;0;;0;22701359;37470;607
flask-cors;flask-cors;1;;1;0;0;1;H;0;0;1;patch;;0;0;21894637;93323;682
twisted;twisted;5;3;2;1;2;2;M;0;4;1;minor;75;21;53;21242231;37650;1040
ua-parser;uap-python;1;1;;0;1;0;M;0;0;1;patch;51;;51;18771802;2971;55
numba;numba;1;;1;0;1;0;M;0;1;0;minor;;37;37;12868927;32493;1323
webob;webob;1;1;;0;1;0;M;0;1;0;minor;72;;72;11715810;8951;537
codecov;codecov-python;2;2;;0;2;0;M;0;0;2;patch;2;;2;11603334;;
django-storages;django-storages;1;1;;0;1;0;M;0;0;1;patch;4;;4;10434609;;
waitress;waitress;8;8;;1;2;5;H;1;5;2;minor;24;;24;9749306;;
twine;twine;1;1;;0;1;0;M;0;1;0;minor;149;;149;9691722;33339;3248
twilio;twilio-python;1;1;;0;1;0;M;0;1;0;minor;1;;1;7785777;15144;186
flask-admin;flask-admin;3;3;;0;3;0;M;0;1;2;patch;176;;176;7242181;10247;117
cheroot;cheroot;1;1;;0;1;0;M;0;0;1;patch;1;;1;6222027;;
knack;knack;1;;1;0;0;1;H;0;0;1;patch;;0;0;6160493;731;36
cherrypy;cherrypy;1;1;;0;0;1;H;0;1;0;minor;83;;83;6099789;6700;307
flower;flower;1;1;;0;1;0;M;0;0;1;patch;159;;159;6018145;5516;80
flask-appbuilder;flask-appbuilder;1;1;;0;1;0;M;0;0;1;patch;0;;0;5900508;1722;63
apache-airflow;airflow;5;2;3;0;3;2;M;0;1;4;patch;132;54;85;5893845;;
scrapy;scrapy;1;1;;0;0;1;H;0;1;0;minor;85;;85;5433941;22778;416
sanic;sanic;1;1;;0;0;1;H;0;0;1;patch;0;;0;5384553;4575;356
cairosvg;cairosvg;2;2;;0;1;1;M;0;0;2;patch;0;;0;5244128;6231;114
aioxmpp;aioxmpp;1;1;;0;0;1;H;0;1;0;minor;455;;455;4764048;;
webargs;webargs;1;1;;0;0;1;H;0;0;1;patch;0;;0;4069626;;
clickhouse-driver;clickhouse-driver;1;1;;0;0;1;H;0;0;1;patch;8;;8;3582905;222;29
peewee;peewee;1;1;;1;0;0;L;0;1;0;minor;0;;0;3569803;11913;464
starlette;starlette;1;;1;0;0;1;H;0;0;1;patch;;1;1;3553347;11942;243
autobahn;autobahn-python;2;1;1;1;1;0;L;0;0;2;patch;14;1;7;3420905;11860;197
requests-kerberos;requests-kerberos;1;1;;0;1;0;M;0;0;1;patch;10;;10;3030774;1055;65
rope;rope;1;;1;0;0;1;H;0;1;0;minor;;0;0;2832382;26498;116
scapy;scapy;2;2;;0;1;1;M;0;0;2;patch;243;;243;2711426;4370;162
luigi;luigi;2;2;;0;2;0;M;0;1;1;minor;0;;0;2616915;1286;72
fastapi;fastapi;1;;1;0;1;0;M;0;1;0;minor;;0;0;2584154;;
asyncpg;asyncpg;1;1;;1;0;0;L;0;1;0;minor;0;;0;2572733;4261;198
jwcrypto;jwcrypto;1;1;;0;1;0;M;0;1;0;minor;88;;88;2531648;1390;67
python3-saml;python3-saml;1;1;;0;1;0;M;0;1;0;minor;0;;0;2491042;523;31
django-celery-results;django-celery-results;1;;1;1;0;0;L;1;0;0;major;;29;29;2437571;;
django-oauth-toolkit;django-oauth-toolkit;1;1;;0;1;0;M;0;1;0;minor;55;;55;2387110;;
channels;channels;1;1;;0;1;0;M;0;0;1;patch;6;;6;2308185;10990;131
pysaml2;pysaml2;4;4;;0;4;0;M;1;3;0;minor;4;;4;2283439;544;34
facebook-sdk;facebook-sdk;1;1;;0;1;0;M;0;0;1;patch;11;;11;2089242;2905;45
elastic-apm;apm-agent-python;1;1;;0;0;1;H;0;1;0;minor;0;;0;2058791;;
bson;bson;1;1;;0;1;0;M;0;0;1;patch;128;;128;2041020;3514;149
anyconfig;python-anyconfig;1;1;;0;0;1;H;0;1;0;minor;19;;19;2022349;1353;57
markdown2;python-markdown2;3;2;1;0;1;2;H;0;1;2;patch;1;0;0;2016842;8683;190
platformio;platformio-core;1;1;;0;0;1;H;0;1;0;minor;13;;13;1895060;;
pyramid;pyramid;3;2;1;0;2;1;M;0;0;3;patch;182;220;194;1822879;8300;695
beaker;beaker;1;1;;0;1;0;M;0;0;1;patch;6;;6;1522612;2565;130
django-anymail;django-anymail;2;2;;0;0;2;H;0;0;2;patch;233;;233;1397998;3341;13
graphite-web;graphite-web;1;1;;0;1;0;M;0;0;1;patch;0;;0;1166463;56;2
httpie;httpie;1;1;;0;0;1;H;0;0;1;patch;62;;62;1154843;8126;66
splunk-sdk;splunk-sdk-python;1;1;;0;0;1;H;0;0;1;patch;283;;283;1126699;197;19
django-haystack;django-haystack;1;1;;0;1;0;M;0;1;0;minor;769;;769;1103533;6757;94
colander;colander;1;1;;0;1;0;M;0;1;0;minor;0;;0;993827;;
django-cacheops;django-cacheops;1;1;;1;0;0;L;0;0;1;patch;15;;15;988462;458;3
asyncssh;asyncssh;2;2;;0;0;2;H;0;1;1;minor;5;;5;963539;334;80
django-tastypie;django-tastypie;1;1;;0;0;1;H;0;0;1;patch;41;;41;826861;4246;101
homeassistant;core;1;1;;0;1;0;M;0;0;1;patch;0;;0;812107;289;7
wagtail;wagtail;1;1;;0;1;0;M;0;0;1;patch;36;;36;778768;4793;275
pykmip;pykmip;1;1;;0;0;1;H;0;1;0;minor;23;;23;760425;43;2
django-two-factor-auth;django-two-factor-auth;1;1;;0;1;0;M;0;0;1;patch;0;;0;658542;369;8
asteval;asteval;1;;1;0;0;1;H;0;0;1;patch;;14;14;641395;466;40
ansible-runner;ansible-runner;1;1;;1;0;0;L;0;0;1;patch;1;;1;632188;484;12
djoser;djoser;2;2;;0;1;1;M;0;0;2;patch;8;;8;618009;;
mitmproxy;mitmproxy;2;1;1;0;0;2;H;2;0;0;major;333;514;423;608404;1195;50
django-select2;django-select2;1;1;;0;1;0;M;0;1;0;minor;0;;0;584159;;
svglib;svglib;1;1;;0;1;0;M;0;0;1;patch;0;;0;559119;373;33
