Package name;Clone url;Clone dir
celery;https://github.com/celery/celery.git;celery
fastapi;https://github.com/tiangolo/fastapi.git;fastapi
flask-cors;https://github.com/corydolphin/flask-cors.git;flask-cors
ipaddress;https://github.com/phihag/ipaddress.git;ipaddress
knack;https://github.com/microsoft/knack.git;knack
oauth2;http://github.com/joestump/python-oauth2.git;python-oauth2
pyarrow;https://github.com/apache/arrow.git;arrow
pytorch-lightning;https://github.com/PyTorchLightning/pytorch-lightning.git;pytorch-lightning
rope;https://github.com/python-rope/rope.git;rope
rtslib-fb;http://github.com/open-iscsi/rtslib-fb.git;rtslib-fb
starlette;https://github.com/encode/starlette.git;starlette
tornado;https://github.com/tornadoweb/tornado.git;tornado
