Severity;Name;Vulnerability_url;Package;Versions;CVE;GitHub Advisory;GitHub Commit;GitHub Release;GitHub Release Tag;GitHub Additional Information;GitHub PR;GitHub Issue;NVD
H;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-1087441;ansible;[2.9.0,2.9.12),[2.8.0,2.8.6),[2.10.0a1,2.10.0),[,2.7.14);CVE-2019-14846;;;;;;https://github.com/ansible/ansible/pull/63366;;https://nvd.nist.gov/vuln/detail/CVE-2019-14846
H;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-PYGMENTS-1086606;pygments;[1.1,2.7.4);CVE-2021-27291;;https://github.com/pygments/pygments/commit/2e7e8c4a7b318f4032493773732754e418279a14;;;https://gist.github.com/b-c-ds/b1a2cc0c68a35c57188575eb496de5ce;;;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-1086591;ansible;[0,];CVE-2021-3447;;;;;;;;
M;Improper Certificate Validation;https://snyk.io/vuln/SNYK-PYTHON-URLLIB3-1085966;urllib3;[1.26.0,1.26.4);CVE-2021-28363;;https://github.com/urllib3/urllib3/commit/8d65ea1ecf6e2cdc27d42124e587c1b83a3118b0;;;;;;
M;Arbitrary Code Execution;https://snyk.io/vuln/SNYK-PYTHON-TENABLEJIRACLOUD-1085072;tenable-jira-cloud;[,1.1.22);CVE-2021-21371;;https://github.com/tenable/integration-jira-cloud/commit/f8c2095fd529e664e7fa25403a0a4a85bb3907d0;https://github.com/tenable/integration-jira-cloud/releases/tag/1.1.21;;;;;
H;Arbitrary Code Execution;https://snyk.io/vuln/SNYK-PYTHON-NNI-1073630;nni;[,2.1);;;https://github.com/microsoft/nni/commit/61ac844f5106b779515b94b5ba22bde2f1ec781e;;;;https://github.com/microsoft/nni/pull/3311;;
H;Arbitrary Code Execution;https://snyk.io/vuln/SNYK-PYTHON-YOLOV5-1078308;yolov5;[0,4.0.3);;;;;;;https://github.com/ultralytics/yolov5/pull/1962;;
H;Improper Authentication;https://snyk.io/vuln/SNYK-PYTHON-BOTFRAMEWORKCONNECTOR-1083278;botframework-connector;[4.10.0, 4.10.1),[4.9.0,4.9.3),[4.8.0, 4.8.1),[4.7.0,4.7.2);CVE-2021-1725;;;;;;;;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-PRODUCTSPLUGGABLEAUTHSERVICE-1083273;products.pluggableauthservice;[, 2.6.0);CVE-2021-21336;;https://github.com/zopefoundation/Products.PluggableAuthService/commit/2dad81128250cb2e5d950cddc9d3c0314a80b4bb;;;;;;
H;Open Redirect;https://snyk.io/vuln/SNYK-PYTHON-POLLBOT-1083271;pollbot;[0,];CVE-2021-21354;;https://github.com/mozilla/PollBot/commit/6db74a4fcbff258c7cdf51a6ff0724fc10c485e5;https://github.com/mozilla/PollBot/releases/tag/v1.4.4;;;https://github.com/mozilla/PollBot/pull/333;;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-PRODUCTSGENERICSETUP-1083267;products.genericsetup;[,2.1.1);CVE-2021-21360;;https://github.com/zopefoundation/Products.GenericSetup/commit/700319512b3615b3871a1f24e096cf66dc488c57;;;;;;
M;Open Redirect;https://snyk.io/vuln/SNYK-PYTHON-PRODUCTSPLUGGABLEAUTHSERVICE-1083270;products.pluggableauthservice;[,2.6.0);CVE-2021-21337;;https://github.com/zopefoundation/Products.PluggableAuthService/commit/7eead067898852ebd3e0f143bc51295928528dfa;;;;;;
H;Deserialization of Untrusted Data;https://snyk.io/vuln/SNYK-PYTHON-PARLAI-1078802;parlai;[,1.1.0);;;https://github.com/facebookresearch/ParlAI/commit/507d066ef432ea27d3e201da08009872a2f37725;;;;https://github.com/facebookresearch/ParlAI/pull/3402;;
H;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-APACHESUPERSET-1082931;apache-superset;[,0.38.1);CVE-2021-27907;;;;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1082329;pillow;[,8.1.1);CVE-2021-25289;;;;;;;;
H;Insufficient Validation;https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1082750;pillow;[,8.1.1);CVE-2021-25290;;;;;;;;
M;Improper Input Validation;https://snyk.io/vuln/SNYK-PYTHON-DJANGOOAUTHTOOLKIT-1082326;django-oauth-toolkit;[, 0.8.0);;;https://github.com/jazzband/django-oauth-toolkit/commit/83367ffe5ad1046f5a5338537a8655cb1c16400d;;;;;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1081494;pillow;[,8.1.2);CVE-2021-27921;;https://github.com/python-pillow/Pillow/commit/756fff33128a0b643d10518a26ad04b726dd8973;;;;;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1081501;pillow;[,8.1.2);CVE-2021-27923;;;;;;;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1081502;pillow;[,8.1.2);CVE-2021-27922;;https://github.com/python-pillow/Pillow/commit/756fff33128a0b643d10518a26ad04b726dd8973;;;;;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-CKAN-1080981;ckan;[,2.6.9),[2.7.0,2.7.7),[2.8.0,2.8.4);;;https://github.com/ckan/ckan/commit/1382393a9105a23c0904d5ccd6ef3bb5972dfabb;;;;https://github.com/ckan/ckan/pull/5064;;
M;Insecure Randomness;https://snyk.io/vuln/SNYK-PYTHON-YAPI-1080740;yapi;[0,];CVE-2021-27884;;;;;;;https://github.com/YMFE/yapi/issues/2117;
M;Cryptographic Issues;https://snyk.io/vuln/SNYK-PYTHON-AIOOTP-1080642;aiootp;[,0.17.0);;;;;;https://github.com/rmlibre/aiootp/blob/master/CHANGES.rst#changes-for-version-0170;;;
M;Information Disclosure;https://snyk.io/vuln/SNYK-PYTHON-AIOOTP-1080641;aiootp;[,0.13.0);;;;;;https://github.com/rmlibre/aiootp/blob/master/CHANGES.rst#changes-for-version-0130;;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-ZULIP-1080640;zulip;[0,];CVE-2020-10935;;https://github.com/zulip/zulip/commit/64856d858e2afcc028d368d58c442757ac28ee51;;;;;;
H;Sandbox Escape;https://snyk.io/vuln/SNYK-PYTHON-ASTEVAL-1073629;asteval;[,0.9.23);;;;;;;https://github.com/newville/asteval/pull/87;https://github.com/newville/asteval/issues/86;
H;Out-of-bounds Read;https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1080635;pillow;[,8.1.1);CVE-2021-25291;;https://github.com/python-pillow/Pillow/commit/4853e522bddbec66022c0915b9a56255d0188bf9;;;;;;
H;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1080654;pillow;[0,8.1.1);CVE-2021-25292;;https://github.com/python-pillow/Pillow/commit/3bce145966374dd39ce58a6fc0083f8d1890719c;;;;;;
L;Insecure Defaults;https://snyk.io/vuln/SNYK-PYTHON-MATRIXSYNAPSE-1080613;matrix-synapse;[,1.25.0);CVE-2021-21273;;https://github.com/matrix-org/synapse/commit/30fba6210834a4ecd91badf0c8f3eb278b72e746;https://github.com/matrix-org/synapse/releases/tag/v1.25.0;;;https://github.com/matrix-org/synapse/pull/8821;;
