Package name;Clone dir;Tot vulns with commit;Tot rows;Avg time interval
aiohttp-session;aiohttp;1;174;869
aioxmpp;aioxmpp;1;1;455
apache-airflow;airflow;1;108;889
ansible;ansible-runner;1;11;160
elastic-apm;apm-agent-python;1;23;164
asyncpg;asyncpg;1;1;0
autobahn;autobahn-python;1;113;1178
beaker;beaker;1;11;1507
bleach;bleach;2;13;75
bson;bson;1;6;522
cairosvg;cairosvg;1;2;1
channels-redis;channels;1;8;284
cherrypy;cherrypy;1;121;3382
codecov;codecov-python;2;31;72
colander;colander;1;4;412
homeassistant;core;1;443;426
cryptography;cryptography;2;93;714
django;django-cacheops;1;7;506
django-hashid-field;django-hashid-field;1;3;91
django-haystack;django-haystack;1;36;2152
django-storages;django-storages;1;8;416
django-tastypie;django-tastypie;1;20;1237
djoser;djoser;2;25;245
facebook-sdk;facebook-sdk;1;6;1240
flower;flower;1;4;849
gdal;gdal;1;14;362
graphite-web;graphite-web;1;7;494
gunicorn;gunicorn;1;4;4
httpie;httpie;1;5;281
imageio;imageio;1;4;103
ipython;ipython;1;4;37
jwcrypto;jwcrypto;1;10;692
keystone;keystone;3;131;504
luigi;luigi;2;41;375
lxml;lxml;1;18;357
mistune;mistune;1;9;516
mitmproxy;mitmproxy;1;6;465
nltk;nltk;1;1;0
notebook;notebook;4;41;395
numpy;numpy;2;93;734
paramiko;paramiko;2;29;257
pdoc3;pdoc;1;2;0
peewee;peewee;1;1;0
pillow;pillow-simd;8;111;152
platformio;platformio-core;1;11;194
pycrypto;pycryptodome;1;83;1575
pyinstaller;pyinstaller;1;2;109
pykmip;PyKMIP;1;4;383
oic;pyoidc;1;14;545
pypiserver;pypiserver;1;8;317
pyramid;pyramid;2;132;730
certifi;python-certifi;1;18;606
python-keystoneclient;python-keystoneclient;2;174;1067
markdown2;python-markdown2;1;5;333
rsa;python-rsa;3;27;750
pyyaml;pyyaml;2;20;298
recurly;recurly-client-python;1;37;543
rply;rply;1;7;799
salt;salt;2;208;849
scapy;scapy;2;20;495
sceptre;sceptre;1;2;235
splunk-sdk;splunk-sdk-python;1;8;386
svglib;svglib;1;1;0
tensorflow-gpu;tensorflow;23;369;135
tqdm;tqdm;1;73;720
twilio;twilio-python;1;187;1580
twine;twine;1;30;919
twisted;twisted;3;24;315
urllib3;urllib3;3;38;374
wagtail;wagtail;1;7;47
waitress;waitress;8;84;337
webargs;webargs;1;1;0
websocket-client;websocket-client;1;21;766
websockets;websockets;1;8;252
werkzeug;werkzeug;4;139;1269
